rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
1,Jason Sanders,36,39,92.3,56,1,8,7,12,8,36,36,16,172.0,10.8,22.6,MIA,2020,K
2,Younghoe Koo,37,39,94.9,54,0,10,11,8,8,33,36,15,168.0,11.2,40.9,ATL,2020,K
3,Tyler Bass,28,34,82.4,58,1,9,6,8,4,57,59,16,157.0,9.8,84.8,BUF,2020,K
4,Daniel Carlson,33,35,94.3,54,0,18,8,3,4,45,47,16,155.0,9.7,74.3,LV,2020,K
5,Greg Zuerlein,34,41,82.9,59,1,5,13,12,3,33,36,16,153.0,9.6,74.2,DAL,2020,K
6,Rodrigo Blankenship,32,37,86.5,53,0,10,12,9,1,43,45,16,150.0,9.4,4.1,IND,2020,K
7,Ryan Succop,28,31,90.3,50,1,10,9,7,1,52,57,16,145.0,9.1,57.4,TB,2020,K
8,Justin Tucker,26,29,89.7,55,0,8,6,9,3,52,53,16,145.0,9.1,98.0,BAL,2020,K
9,Cairo Santos,30,32,93.8,55,0,9,10,9,2,36,37,16,139.0,8.7,2.1,CHI,2020,K
10,Jason Myers,24,24,100.0,61,0,2,7,13,2,49,53,16,138.0,8.6,22.1,SEA,2020,K
11,Brandon McManus,28,34,82.4,58,0,6,4,8,10,24,27,15,136.0,9.1,44.3,DEN,2020,K
12,Wil Lutz,23,28,82.1,53,0,5,10,7,1,57,58,16,135.0,8.4,3.3,NO,2020,K
13,Harrison Butker,25,27,92.6,58,2,7,9,3,4,48,54,16,134.0,8.4,76.6,KC,2020,K
14,Graham Gano,31,32,96.9,55,0,4,13,9,5,21,23,16,133.0,8.3,31.4,NYG,2020,K
15,Ka'imi Fairbairn,27,31,87.1,54,0,8,9,6,4,37,40,16,132.0,8.3,0.8,HOU,2020,K
16,Joey Slye,29,36,80.6,56,0,11,10,7,1,33,36,16,129.0,8.1,1.6,WAS,2020,K
17,Dustin Hopkins,27,34,79.4,51,0,5,7,13,2,30,32,16,128.0,8.0,14.5,LAC,2020,K
18,Nick Folk,26,28,92.9,51,0,6,7,11,2,30,33,16,123.0,7.7,81.8,NE,2020,K
19,Mason Crosby,16,16,100.0,57,1,1,5,5,4,59,63,16,120.0,7.5,40.7,GB,2020,K
20,Michael Badgley,24,33,72.7,53,0,8,6,8,2,36,39,16,120.0,7.5,19.9,IND,2020,K
21,Stephen Gostkowski,18,26,69.2,55,0,2,4,5,7,46,48,15,119.0,7.9,0.1,FA,2020,K
22,Matt Prater,21,28,75.0,59,0,4,7,4,6,38,41,16,117.0,7.3,52.8,ARI,2020,K
23,Cody Parkey,19,22,86.4,46,0,5,4,10,0,43,47,15,110.0,7.3,0.4,FA,2020,K
24,Robbie Gould,19,23,82.6,52,0,3,5,9,2,36,38,15,106.0,7.1,22.5,SF,2020,K
25,Randy Bullock,21,26,80.8,55,0,3,8,7,3,24,25,12,100.0,8.3,10.8,TEN,2020,K
26,Chris Boswell,19,20,95.0,59,0,5,6,7,1,34,38,13,100.0,7.7,51.0,PIT,2020,K
27,Zane Gonzalez,16,22,72.7,56,0,4,2,8,2,38,39,12,98.0,8.2,2.6,CAR,2020,K
28,Dan Bailey,15,22,68.2,53,0,6,3,4,2,37,43,16,90.0,5.6,0.0,FA,2020,K
29,Jake Elliott,14,19,73.7,54,0,1,6,5,2,24,26,16,75.0,4.7,22.5,PHI,2020,K
30,Matt Gay,14,16,87.5,51,0,2,5,6,1,16,16,7,66.0,9.4,89.8,LAR,2020,K
31,Sam Sloman,10,13,76.9,47,0,2,6,2,0,23,26,8,55.0,6.9,0.0,PIT,2020,K
32,Sam Ficken,13,15,86.7,54,0,5,6,1,1,12,15,9,54.0,6.0,0.1,TEN,2020,K
33,Aldrick Rosas,8,11,72.7,54,0,3,2,0,3,9,9,6,39.0,6.5,1.8,FA,2020,K
34,Sergio Castillo,8,13,61.5,55,0,1,3,2,2,6,7,6,36.0,6.0,0.0,NYJ,2020,K
35,Mike Nugent,7,8,87.5,43,0,1,4,2,0,7,7,4,30.0,7.5,1.0,FA,2020,K
36,Josh Lambo,5,5,100.0,59,0,0,2,1,2,8,10,4,28.0,7.0,3.2,FA,2020,K
37,Austin Seibert,6,9,66.7,48,0,0,5,1,0,8,9,5,27.0,5.4,0.1,DET,2020,K
38,Matthew Wright,4,4,100.0,46,0,1,1,2,0,7,7,3,21.0,7.0,0.2,JAC,2020,K
39,Chase McLaughlin,4,5,80.0,52,0,1,1,1,1,5,6,4,20.0,5.0,7.1,CLE,2020,K
40,Tristan Vizcaino,3,3,100.0,47,0,0,2,1,0,2,2,1,12.0,12.0,0.8,FA,2020,K
41,Kai Forbath,2,3,66.7,23,0,2,0,0,0,4,5,2,10.0,5.0,3.0,LAR,2020,K
42,Elliott Fry,1,1,100.0,23,0,1,0,0,0,1,2,1,4.0,4.0,2.4,FA,2020,K
43,Jonathan Brown,1,2,50.0,31,0,0,1,0,0,1,1,1,4.0,4.0,0.1,FA,2020,K
44,Stephen Hauschka,0,2,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0,FA,2020,K
45,Taylor Russolino,0,1,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,0.0,FA,2020,K
46,Brandon Wright,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.0,FA,2020,K
47,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,2020,K
48,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,2020,K
49,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,2020,K
50,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,2020,K
51,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,2020,K
52,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,2020,K
53,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,2020,K
54,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,2020,K
55,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,2020,K
56,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,2020,K
57,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,2020,K
58,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2020,K
59,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,2020,K
