rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Travis Kelce,105.0,145.0,1416.0,13.5,45.0,0.0,11.0,0.0,0.0,0.0,1.0,15.0,207.8,13.9,100.0,TE,2020,team
2.0,Darren Waller,107.0,145.0,1196.0,11.2,38.0,0.0,9.0,0.0,0.0,0.0,2.0,16.0,171.6,10.7,92.6,TE,2020,team
3.0,Robert Tonyan,52.0,59.0,586.0,11.3,45.0,0.0,11.0,0.0,0.0,0.0,0.0,16.0,124.6,7.8,18.6,TE,2020,team
4.0,Mark Andrews,58.0,88.0,701.0,12.1,39.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,112.1,8.0,99.9,TE,2020,team
5.0,T.J. Hockenson,67.0,101.0,723.0,10.8,51.0,0.0,6.0,1.0,0.0,0.0,1.0,16.0,108.3,6.8,57.4,TE,2020,team
6.0,Mike Gesicki,53.0,85.0,703.0,13.3,70.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,106.3,7.1,87.6,TE,2020,team
7.0,Logan Thomas,72.0,110.0,670.0,9.3,30.0,0.0,6.0,3.0,5.0,0.0,0.0,16.0,104.6,6.5,27.1,TE,2020,team
8.0,Rob Gronkowski,45.0,77.0,623.0,13.8,48.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,104.3,6.5,97.7,TE,2020,team
9.0,Jonnu Smith,41.0,65.0,448.0,10.9,63.0,0.0,8.0,2.0,4.0,1.0,0.0,15.0,99.2,6.6,22.7,TE,2020,team
10.0,Jimmy Graham,50.0,76.0,456.0,9.1,30.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,93.6,5.9,0.8,TE,2020,team
11.0,Hayden Hurst,56.0,88.0,571.0,10.2,42.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,93.1,5.8,0.9,TE,2020,team
12.0,Jared Cook,37.0,60.0,504.0,13.6,46.0,0.0,7.0,0.0,0.0,0.0,1.0,15.0,90.4,6.0,50.2,TE,2020,team
13.0,Noah Fant,62.0,93.0,673.0,10.9,37.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,87.3,5.8,80.3,TE,2020,team
14.0,Eric Ebron,56.0,91.0,558.0,10.0,27.0,0.0,5.0,0.0,0.0,0.0,1.0,15.0,85.8,5.7,3.0,TE,2020,team
15.0,Hunter Henry,60.0,93.0,613.0,10.2,33.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,85.3,6.1,65.9,TE,2020,team
16.0,Tyler Higbee,44.0,60.0,521.0,11.8,44.0,0.0,5.0,1.0,1.0,0.0,0.0,15.0,84.2,5.6,77.4,TE,2020,team
17.0,Dalton Schultz,63.0,89.0,615.0,9.8,28.0,0.0,4.0,0.0,0.0,0.0,1.0,16.0,83.5,5.2,89.9,TE,2020,team
18.0,Evan Engram,63.0,109.0,654.0,10.4,53.0,0.0,1.0,6.0,26.0,1.0,1.0,16.0,78.0,4.9,28.5,TE,2020,team
19.0,George Kittle,48.0,63.0,634.0,13.2,44.0,0.0,2.0,2.0,17.0,0.0,0.0,8.0,77.1,9.6,99.7,TE,2020,team
