rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
1,Davante Adams,115,149,1374,11.9,56,0,18,0,0,0,1,14,243.4,17.4,100.0,GB,2020,WR
2,Tyreek Hill,87,135,1276,14.7,75,0,15,13,123,2,0,15,241.9,16.1,100.0,KC,2020,WR
3,Stefon Diggs,127,166,1535,12.1,55,0,8,1,1,0,0,16,201.6,12.6,100.0,BUF,2020,WR
4,Calvin Ridley,90,143,1374,15.3,63,0,9,5,1,0,1,15,191.5,12.8,56.8,ATL,2020,WR
5,D.K. Metcalf,83,129,1303,15.7,62,0,10,0,0,0,1,16,188.3,11.8,98.9,SEA,2020,WR
6,Justin Jefferson,88,125,1400,15.9,71,0,7,1,2,0,0,16,186.2,11.6,99.9,MIN,2020,WR
7,Adam Thielen,74,108,925,12.5,51,0,14,3,15,0,0,15,180.0,12.0,82.7,MIN,2020,WR
8,Mike Evans,70,109,1006,14.4,50,0,13,0,0,0,0,16,178.6,11.2,97.8,TB,2020,WR
9,A.J. Brown,70,106,1075,15.4,73,0,11,0,0,0,1,14,177.5,12.7,97.8,TEN,2020,WR
10,DeAndre Hopkins,115,160,1407,12.2,60,0,6,1,1,0,2,16,172.8,10.8,69.3,ARI,2020,WR
11,Tyler Lockett,100,132,1054,10.5,47,0,10,0,0,0,0,16,165.4,10.3,97.5,SEA,2020,WR
12,Allen Robinson II,102,151,1250,12.3,42,0,6,1,-1,0,0,16,160.9,10.1,53.7,CHI,2020,WR
13,Robert Woods,90,129,936,10.4,56,0,6,24,155,2,1,16,155.1,9.7,29.9,LAR,2020,WR
14,Chase Claypool,62,109,873,14.1,84,0,9,10,16,2,1,16,152.9,9.6,85.4,PIT,2020,WR
15,Marvin Jones Jr.,76,115,978,12.9,43,0,9,0,0,0,0,16,151.8,9.5,55.4,JAC,2020,WR
16,Brandin Cooks,81,119,1150,14.2,57,0,6,0,0,0,0,15,151.0,10.1,92.7,HOU,2020,WR
17,DJ Moore,66,118,1193,18.1,74,0,4,2,22,0,0,15,145.5,9.7,95.7,CAR,2020,WR
18,Keenan Allen,100,147,992,9.9,28,0,8,1,-1,0,2,14,145.1,10.4,99.3,LAC,2020,WR
19,Amari Cooper,92,130,1114,12.1,69,0,5,6,14,0,0,16,144.8,9.1,97.7,DAL,2020,WR
20,CeeDee Lamb,74,111,935,12.6,52,0,5,10,82,1,1,16,143.7,9.0,99.7,DAL,2020,WR
21,Nelson Agholor,48,82,896,18.7,85,0,8,0,0,0,0,16,137.6,8.6,13.6,NE,2020,WR
22,JuJu Smith-Schuster,97,128,831,8.6,31,0,9,0,0,0,1,16,137.1,8.6,18.5,FA,2020,WR
23,Terry McLaurin,87,134,1118,12.9,68,0,4,2,30,0,1,15,136.8,9.1,97.0,WAS,2020,WR
24,Will Fuller V,53,75,879,16.6,77,0,8,1,0,0,0,11,135.9,12.4,22.8,MIA,2020,WR
25,Curtis Samuel,77,97,851,11.1,44,0,3,41,200,2,0,15,135.1,9.0,15.7,WAS,2020,WR
26,Diontae Johnson,88,144,923,10.5,47,0,7,3,15,0,1,15,133.8,8.9,98.1,PIT,2020,WR
27,Robby Anderson,95,136,1096,11.5,75,0,3,4,15,0,1,16,129.2,8.1,42.2,CAR,2020,WR
28,Tee Higgins,67,108,908,13.6,67,0,6,5,28,0,1,16,127.6,8.0,95.2,CIN,2020,WR
29,Corey Davis,65,92,984,15.1,75,0,5,0,0,0,1,14,126.4,9.0,29.9,NYJ,2020,WR
30,Chris Godwin,65,84,840,12.9,47,0,7,0,0,0,0,12,126.0,10.5,67.1,TB,2020,WR
