rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
1,Mark Andrews,107,153,1361,12.7,43,0,9,1,0,0,0,17,194.1,11.4,99.9,BAL,2021,TE
2,Travis Kelce,92,134,1125,12.2,69,0,9,2,3,1,1,16,170.8,10.7,100.0,KC,2021,TE
3,Dalton Schultz,78,104,808,10.4,32,0,8,0,0,0,0,17,130.8,7.7,89.9,DAL,2021,TE
4,George Kittle,71,94,910,12.8,48,0,6,3,20,0,1,14,127.0,9.1,99.7,SF,2021,TE
5,Rob Gronkowski,55,88,802,14.6,42,0,6,0,0,0,0,12,116.2,9.7,97.7,TB,2021,TE
6,Dawson Knox,49,71,587,12.0,53,0,9,0,4,0,0,15,115.1,7.7,87.2,BUF,2021,TE
7,Hunter Henry,50,75,603,12.1,35,0,9,0,0,0,0,16,114.3,7.1,65.9,NE,2021,TE
8,Dallas Goedert,56,76,830,14.8,45,0,4,0,0,0,0,15,109.0,7.3,89.8,PHI,2021,TE
9,Kyle Pitts,68,110,1026,15.1,61,0,1,0,0,0,0,17,108.6,6.4,97.4,ATL,2021,TE
10,Zach Ertz,74,112,763,10.3,47,0,5,1,4,0,0,17,106.7,6.3,85.8,ARI,2021,TE
11,Mike Gesicki,73,112,780,10.7,40,0,2,0,0,0,0,17,92.0,5.4,87.6,MIA,2021,TE
12,Pat Freiermuth,60,79,497,8.3,24,0,7,0,0,0,1,16,91.7,5.7,56.7,PIT,2021,TE
13,Noah Fant,68,90,670,9.9,35,0,4,0,0,0,0,16,91.0,5.7,80.3,DEN,2021,TE
14,Tyler Higbee,61,85,560,9.2,37,0,5,0,0,0,0,15,86.0,5.7,77.4,LAR,2021,TE
15,Jared Cook,48,83,564,11.8,42,0,4,0,0,0,0,16,84.4,5.3,50.2,LAC,2021,TE
16,T.J. Hockenson,61,84,583,9.6,33,0,4,0,0,0,0,12,84.3,7.0,57.4,DET,2021,TE
17,C.J. Uzomah,49,63,493,10.1,55,0,5,0,0,0,0,16,79.3,5.0,20.8,CIN,2021,TE
18,Darren Waller,55,93,665,12.1,33,0,2,0,0,0,0,11,78.5,7.1,92.6,LV,2021,TE
19,Tyler Conklin,61,87,593,9.7,40,0,3,0,0,0,0,17,77.3,4.5,40.5,MIN,2021,TE
20,David Njoku,36,53,475,13.2,71,0,4,1,1,0,0,15,71.6,4.8,12.9,CLE,2021,TE
21,Gerald Everett,48,63,478,10.0,41,0,4,3,20,0,2,15,69.8,4.7,35.7,FA,2021,TE
22,Cole Kmet,60,93,612,10.2,25,0,0,1,0,0,0,17,61.2,3.6,33.3,CHI,2021,TE
23,Evan Engram,46,73,408,8.9,30,0,3,1,-3,0,1,15,56.5,3.8,28.5,NYG,2021,TE
24,Mo Alie-Cox,24,45,316,13.2,37,0,4,0,0,0,0,17,55.6,3.3,2.2,IND,2021,TE
25,Foster Moreau,30,44,373,12.4,44,0,3,0,0,0,0,15,55.3,3.7,23.7,LV,2021,TE
26,Austin Hooper,38,61,345,9.1,34,0,3,0,0,0,0,15,54.5,3.6,28.8,CLE,2021,TE
27,Jack Doyle,29,43,302,10.4,34,0,3,0,0,0,0,15,50.2,3.3,2.2,IND,2021,TE
28,Cameron Brate,30,57,245,8.2,18,0,4,0,0,0,0,16,48.5,3.0,2.8,TB,2021,TE
29,Albert Okwuegbunam,33,40,330,10.0,64,0,2,0,0,0,1,14,43.0,3.1,1.0,DEN,2021,TE
30,Harrison Bryant,21,28,233,11.1,41,0,3,0,0,0,0,15,41.3,2.8,0.2,CLE,2021,TE
31,Dan Arnold,35,52,408,11.7,28,0,0,0,0,0,1,11,40.8,3.7,6.7,JAC,2021,TE
32,Juwan Johnson,13,22,159,12.2,27,0,4,0,0,0,0,13,39.9,3.1,1.9,NO,2021,TE
33,Jonnu Smith,28,45,294,10.5,28,0,1,9,40,0,0,16,39.4,2.5,22.7,NE,2021,TE
34,Anthony Firkser,34,43,291,8.6,24,0,2,0,0,0,1,15,39.1,2.6,3.7,TEN,2021,TE
35,Ricky Seals-Jones,30,49,271,9.0,39,0,2,0,0,0,0,11,39.1,3.6,10.8,WAS,2021,TE
