,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Cooper Kupp(LAR),145,191,"1,947",13.4,59,0,16,4,18,0,0,17,294.5,17.3,100.0%
1,2,Deebo Samuel(SF),77,121,"1,405",18.2,83,0,6,59,365,8,2,16,262.0,16.4,98.8%
2,3,Ja'Marr Chase(CIN),81,128,"1,455",18.0,82,0,13,7,21,0,1,17,223.6,13.2,98.5%
3,4,Justin Jefferson(MIN),108,167,"1,616",15.0,56,0,10,6,14,0,1,17,222.4,13.1,99.9%
4,5,Davante Adams(GB),123,169,"1,553",12.6,59,0,11,0,0,0,0,16,221.3,13.8,100.0%
5,6,Mike Evans(TB),74,114,"1,035",14.0,46,0,14,1,10,0,0,16,188.5,11.8,97.8%
6,7,Tyreek Hill(KC),111,159,"1,239",11.2,75,0,9,9,96,0,1,17,185.5,10.9,100.0%
7,8,Stefon Diggs(BUF),103,164,"1,225",11.9,61,0,10,0,0,0,0,17,182.5,10.7,100.0%
8,9,Mike Williams(LAC),76,129,"1,146",15.1,72,0,9,0,0,0,0,16,170.6,10.7,91.9%
9,10,D.K. Metcalf(SEA),75,129,967,12.9,84,0,12,1,6,0,0,17,169.3,10.0,98.9%
10,11,Tyler Lockett(SEA),73,107,"1,175",16.1,69,0,8,2,9,0,0,16,168.4,10.5,97.5%
11,12,Diontae Johnson(PIT),107,169,"1,161",10.9,50,0,8,5,53,0,2,16,167.4,10.5,98.1%
12,13,Hunter Renfrow(LV),103,128,"1,038",10.1,54,0,9,3,3,0,1,17,156.1,9.2,89.8%
13,14,CeeDee Lamb(DAL),79,120,"1,102",13.9,49,0,6,9,76,0,0,16,153.8,9.6,99.7%
14,15,Keenan Allen(LAC),106,157,"1,138",10.7,42,0,6,0,0,0,0,16,151.8,9.5,99.3%
15,16,Michael Pittman Jr.(IND),88,129,"1,082",12.3,57,0,6,5,44,0,0,17,150.6,8.9,92.6%
16,17,Tee Higgins(CIN),74,110,"1,091",14.7,54,0,6,0,0,0,1,14,145.1,10.4,95.2%
17,18,DJ Moore(CAR),93,163,"1,157",12.4,64,0,4,8,48,0,1,17,144.5,8.5,95.7%
18,19,Chris Godwin(TB),98,127,"1,103",11.3,44,0,5,4,21,1,2,14,144.4,10.3,67.1%
19,20,Brandin Cooks(HOU),90,134,"1,037",11.5,52,0,6,2,21,0,0,16,141.8,8.9,92.7%
20,21,Jaylen Waddle(MIA),104,140,"1,015",9.8,57,0,6,2,3,1,1,16,141.8,8.9,94.6%
21,22,Darnell Mooney(CHI),81,140,"1,055",13.0,64,0,4,6,32,1,0,17,138.7,8.2,76.3%
22,23,Amon-Ra St. Brown(DET),90,119,912,10.1,37,0,5,7,61,1,0,16,137.3,8.6,82.8%
23,24,Terry McLaurin(WAS),77,130,"1,053",13.7,46,0,5,1,12,0,0,17,136.5,8.0,97.0%
24,25,Marquise Brown(BAL),91,146,"1,008",11.1,49,0,6,1,5,0,1,16,135.3,8.5,92.8%
25,26,Amari Cooper(DAL),68,104,865,12.7,41,0,8,0,0,0,0,15,134.5,9.0,97.7%
26,27,Adam Thielen(MIN),67,95,726,10.8,35,0,10,1,2,0,0,13,132.8,10.2,82.7%
27,28,Christian Kirk(ARI),77,103,982,12.8,50,0,5,1,11,0,0,17,130.6,7.7,79.5%
28,29,Kendrick Bourne(NE),55,70,800,14.5,75,0,5,12,125,0,1,17,125.5,7.4,23.7%
29,30,DeVonta Smith(PHI),64,104,916,14.3,46,0,5,0,0,0,1,17,121.6,7.2,86.6%
30,31,Van Jefferson(LAR),50,89,802,16.0,79,0,6,2,20,0,0,17,118.2,7.0,68.1%
31,32,A.J. Brown(TEN),63,105,869,13.8,57,0,5,2,10,0,0,13,117.9,9.1,97.8%
32,33,Tyler Boyd(CIN),67,94,828,12.4,68,0,5,2,22,0,0,16,116.8,7.3,71.3%
