RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
140,1,Tampa Bay Buccaneers,TB,DST1,140,164,143.1,6.9
145,1,Indianapolis Colts,IND,DST2,145,165,152.4,6.5
149,1,San Francisco 49ers,SF,DST3,145,200,157.4,15.1
150,1,Buffalo Bills,BUF,DST4,145,164,157.6,4.7
159,1,Kansas City Chiefs,KC,DST5,164,176,165.8,3.3
165,1,New Orleans Saints,NO,DST6,166,200,171.8,9.9
166,1,Denver Broncos,DEN,DST7,164,201,172.4,13.7
175,1,Miami Dolphins,MIA,DST8,166,213,182.0,14.7
194,1,New England Patriots,NE,DST9,145,225,183.5,30.4
195,2,Dallas Cowboys,DAL,DST10,159,273,200.9,29.0
203,2,Cleveland Browns,CLE,DST11,200,248,209.4,13.6
204,2,Green Bay Packers,GB,DST12,200,225,210.6,6.3
214,2,Los Angeles Chargers,LAC,DST13,201,250,217.7,15.9
222,2,Arizona Cardinals,ARI,DST14,207,234,224.0,7.3
224,2,Chicago Bears,CHI,DST15,207,278,224.8,22.9
233,3,Philadelphia Eagles,PHI,DST16,213,250,233.4,9.3
240,3,Carolina Panthers,CAR,DST17,219,279,241.4,16.5
242,3,Minnesota Vikings,MIN,DST18,219,288,246.4,16.9
243,3,Los Angeles Rams,LAR,DST19,201,278,236.4,26.5
260,4,Tennessee Titans,TEN,DST20,248,284,262.2,11.6
264,4,Seattle Seahawks,SEA,DST21,213,307,268.6,28.2
278,4,Pittsburgh Steelers,PIT,DST22,225,303,275.0,22.2
285,4,Baltimore Ravens,BAL,DST23,230,303,282.4,21.9
289,5,New York Giants,NYG,DST24,234,316,291.3,22.7
297,5,Cincinnati Bengals,CIN,DST25,275,312,297.4,14.9
302,5,New York Jets,NYJ,DST26,266,327,308.3,19.9
304,5,Jacksonville Jaguars,JAC,DST27,276,341,310.2,16.9
309,5,Washington Commanders,WAS,DST28,276,314,303.1,12.8
