RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
163,1,Justin Tucker,BAL,K1,171,171,171.0,0.0
178,1,Greg Zuerlein,DAL,K2,179,228,185.3,13.7
184,1,Younghoe Koo,ATL,K3,179,218,190.9,15.5
187,1,Tyler Bass,BUF,K4,192,204,193.1,3.5
209,2,Jason Sanders,MIA,K5,204,233,213.2,8.6
210,2,Ryan Succop,TB,K6,204,251,213.6,13.1
212,2,Matt Gay,LAR,K7,183,233,215.7,16.8
219,2,Matt Prater,ARI,K8,218,224,221.0,1.3
225,2,Rodrigo Blankenship,IND,K9,218,233,224.8,5.4
229,2,Daniel Carlson,LV,K10,183,249,228.2,17.6
238,3,Robbie Gould,SF,K11,228,288,239.3,16.7
246,3,Jason Myers,SEA,K12,224,288,249.2,22.9
251,3,Chris Boswell,PIT,K13,251,253,252.3,0.6
252,3,Jake Elliott,PHI,K14,224,273,252.6,14.4
255,3,Mason Crosby,GB,K15,239,288,256.8,17.5
257,3,Brandon McManus,DEN,K16,251,281,258.8,11.6
261,3,Dustin Hopkins,LAC,K17,249,281,263.7,12.9
270,3,Evan McPherson,CIN,K18,218,287,272.9,24.7
277,4,Wil Lutz,NO,K19,253,292,280.8,9.9
279,4,Graham Gano,NYG,K20,276,292,284.2,5.7
286,4,Cairo Santos,CHI,K21,281,300,290.4,6.5
290,4,Harrison Butker,KC,K22,233,295,257.4,26.8
292,4,Ka'imi Fairbairn,HOU,K23,283,309,296.1,8.5
300,4,Josh Lambo,FA,K24,279,323,295.7,13.8
303,4,Chase McLaughlin,CLE,K25,288,328,304.3,12.7
305,4,Tristan Vizcaino,FA,K26,287,333,305.6,15.5
314,4,Quinn Nordin,NE,K27,291,334,307.8,15.4
315,4,Nick Folk,NE,K28,171,318,262.3,58.4
