RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
18,1,Josh Allen,BUF,QB1,19,19,19.0,0.0
40,2,Patrick Mahomes II,KC,QB2,38,38,38.0,0.0
52,3,Justin Herbert,LAC,QB3,54,56,55.5,0.9
55,3,Kyler Murray,ARI,QB4,54,61,56.3,3.0
65,4,Lamar Jackson,BAL,QB5,61,77,66.6,4.9
68,4,Joe Burrow,CIN,QB6,56,87,69.6,10.1
72,5,Aaron Rodgers,GB,QB7,61,91,73.7,8.3
78,5,Dak Prescott,DAL,QB8,68,95,78.1,10.1
88,6,Matthew Stafford,LAR,QB9,77,103,90.1,7.3
97,7,Russell Wilson,SEA,QB10,87,114,98.9,8.0
98,7,Jalen Hurts,PHI,QB11,70,114,99.2,10.7
99,7,Trey Lance,SF,QB12,70,114,99.8,13.7
100,7,Deshaun Watson,HOU,QB13,87,116,101.0,9.4
107,8,Justin Fields,CHI,QB14,103,118,112.5,5.2
112,8,Kirk Cousins,MIN,QB15,105,117,114.9,3.3
123,9,Ryan Tannehill,TEN,QB16,117,131,122.7,5.1
126,9,Mac Jones,NE,QB17,118,150,126.9,9.2
135,10,Tua Tagovailoa,MIA,QB18,118,158,139.4,15.1
136,10,Derek Carr,LV,QB19,117,162,140.3,16.5
138,10,Trevor Lawrence,JAC,QB20,118,154,141.1,13.2
154,11,Matt Ryan,ATL,QB21,150,172,161.2,8.3
155,11,Zach Wilson,NYJ,QB22,154,172,161.3,5.4
164,12,Jameis Winston,NO,QB23,118,197,171.4,22.7
167,12,Carson Wentz,IND,QB24,158,202,174.3,16.4
171,13,Jimmy Garoppolo,SF,QB25,162,202,179.6,12.6
172,13,Baker Mayfield,CLE,QB26,167,241,180.8,20.7
193,14,Daniel Jones,NYG,QB27,167,241,197.8,18.0
221,15,Jared Goff,DET,QB28,178,275,223.2,30.6
