RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,1,Jonathan Taylor,IND,RB1,1,1,1.0,0.0
2,1,Derrick Henry,TEN,RB2,2,3,2.1,0.3
3,1,Dalvin Cook,MIN,RB3,3,6,3.9,1.0
4,1,Austin Ekeler,LAC,RB4,3,6,4.4,1.1
5,1,Joe Mixon,CIN,RB5,3,8,4.9,1.3
6,1,Najee Harris,PIT,RB6,5,9,7.6,1.4
7,1,Alvin Kamara,NO,RB7,5,14,8.0,2.3
8,1,Nick Chubb,CLE,RB8,6,12,8.0,1.5
9,1,Christian McCaffrey,CAR,RB9,4,20,8.4,5.6
12,1,Javonte Williams,DEN,RB10,6,20,12.6,3.4
16,1,Antonio Gibson,WAS,RB11,12,27,16.8,4.5
21,2,D'Andre Swift,DET,RB12,8,28,23.0,7.2
25,2,J.K. Dobbins,BAL,RB13,9,47,26.9,11.3
26,2,David Montgomery,CHI,RB14,20,42,28.1,7.3
31,2,Ezekiel Elliott,DAL,RB15,20,57,33.0,12.4
34,2,Aaron Jones,GB,RB16,28,51,34.5,7.0
35,2,Elijah Mitchell,SF,RB17,20,47,36.0,9.7
37,2,Saquon Barkley,NYG,RB18,28,44,36.5,5.4
45,3,Damien Harris,NE,RB19,14,66,48.4,15.7
46,3,Clyde Edwards-Helaire,KC,RB20,34,66,49.0,11.3
49,3,Travis Etienne Jr.,JAC,RB21,34,76,54.2,12.5
51,3,James Conner,ARI,RB22,40,80,54.6,13.7
53,3,AJ Dillon,GB,RB23,34,84,55.9,12.4
56,3,Josh Jacobs,LV,RB24,31,76,57.1,13.5
60,3,Leonard Fournette,TB,RB25,42,83,60.0,14.5
63,3,Rashaad Penny,SEA,RB26,42,89,63.8,14.1
66,3,Michael Carter,NYJ,RB27,42,93,68.2,15.9
75,4,Miles Sanders,PHI,RB28,66,89,76.1,7.3
82,4,Kareem Hunt,CLE,RB29,76,93,83.1,4.0
83,4,James Robinson,JAC,RB30,60,112,86.5,15.0
84,4,Melvin Gordon III,DEN,RB31,80,100,87.2,5.9
87,4,Devin Singletary,BUF,RB32,66,149,88.7,23.2
90,4,Tony Pollard,DAL,RB33,71,110,93.7,10.4
91,4,Sony Michel,LAR,RB34,85,104,94.5,5.8
96,4,Cordarrelle Patterson,ATL,RB35,60,123,98.6,17.6
103,5,Chris Carson,SEA,RB36,98,120,107.2,8.6
104,5,Darrell Henderson Jr.,LAR,RB37,98,123,108.1,8.1
105,5,Chase Edmonds,ARI,RB38,100,115,110.7,3.8
109,5,Cam Akers,LAR,RB39,31,134,114.2,28.7
110,5,Rhamondre Stevenson,NE,RB40,76,188,114.2,36.5
113,5,Ronald Jones II,TB,RB41,98,126,115.0,9.1
119,5,Alexander Mattison,MIN,RB42,100,134,120.4,8.4
121,5,Raheem Mostert,SF,RB43,110,132,122.5,8.1
128,6,Darrel Williams,KC,RB44,104,144,130.7,10.0
129,6,Chuba Hubbard,CAR,RB45,120,146,132.2,10.3
131,6,Trey Sermon,SF,RB46,120,149,134.0,10.9
137,6,Myles Gaskin,MIA,RB47,126,168,140.6,14.3
141,6,Jamaal Williams,DET,RB48,132,170,146.7,11.4
144,7,J.D. McKissic,WAS,RB49,130,177,151.6,15.2
153,7,Zack Moss,BUF,RB50,144,177,160.9,13.8
158,7,Kenneth Gainwell,PHI,RB51,130,187,165.7,16.1
161,7,Nyheim Hines,IND,RB52,156,187,167.3,12.0
170,8,James White,NE,RB53,143,245,178.8,29.7
173,8,Phillip Lindsay,MIA,RB54,146,256,181.4,30.4
177,8,Justin Jackson,LAC,RB55,149,193,184.6,11.4
179,8,Boston Scott,PHI,RB56,181,190,185.6,2.4
