RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
17,1,Travis Kelce,KC,TE1,17,18,17.4,0.5
19,1,Mark Andrews,BAL,TE2,17,26,19.9,3.8
27,1,George Kittle,SF,TE3,18,46,28.9,8.4
43,2,Kyle Pitts,ATL,TE4,26,53,45.5,6.7
47,2,Darren Waller,LV,TE5,46,53,51.7,2.7
67,3,Dallas Goedert,PHI,TE6,63,78,69.3,3.3
70,3,T.J. Hockenson,DET,TE7,63,78,72.3,6.6
79,3,Dawson Knox,BUF,TE8,63,108,79.5,17.7
89,3,Rob Gronkowski,TB,TE9,69,121,91.6,13.4
102,4,Pat Freiermuth,PIT,TE10,92,133,106.8,12.8
108,4,Hunter Henry,NE,TE11,92,127,113.7,11.8
115,4,Dalton Schultz,DAL,TE12,94,136,116.5,16.8
118,4,Mike Gesicki,MIA,TE13,94,136,117.9,14.8
120,4,Logan Thomas,WAS,TE14,94,136,122.5,12.9
124,4,Noah Fant,DEN,TE15,108,136,123.9,10.6
130,5,Zach Ertz,ARI,TE16,106,153,132.4,11.9
134,5,Tyler Higbee,LAR,TE17,133,142,138.6,3.4
142,6,Cole Kmet,CHI,TE18,139,161,148.9,7.3
146,6,Robert Tonyan,GB,TE19,135,180,152.8,16.3
151,6,Gerald Everett,SEA,TE20,139,173,158.7,10.2
152,6,Evan Engram,NYG,TE21,135,209,159.0,21.1
174,7,Jonnu Smith,NE,TE22,161,255,181.8,25.4
182,7,Jared Cook,LAC,TE23,161,255,189.7,29.4
198,8,Austin Hooper,CLE,TE24,180,260,204.3,28.2
217,9,Blake Jarwin,DAL,TE25,163,260,219.3,27.4
218,9,Adam Trautman,NO,TE26,142,260,220.7,43.5
223,9,Eric Ebron,PIT,TE27,191,298,224.6,34.6
247,9,Irv Smith Jr.,MIN,TE28,94,291,208.5,74.0
