player,position,team,fantasy_points,great_game,poor_game,quality_game,games
A.J. Brown,WR,TEN,117.6,5.0,3.0,4.0,12.0
A.J. Green,WR,ARI,102.8,5.0,6.0,5.0,16.0
AJ Dillon,RB,GB,145.0,4.0,4.0,5.0,13.0
Aaron Jones,RB,GB,177.0,6.0,4.0,5.0,15.0
Aaron Rodgers,QB,GB,336.3,11.0,2.0,3.0,16.0
Adam Humphries,WR,WAS,38.3,0.0,15.0,2.0,17.0
Adam Prentice,RB,NO,0.8999999999999999,0.0,2.0,0.0,2.0
Adam Shaheen,TE,MIA,11.0,0.0,5.0,3.0,8.0
Adam Thielen,WR,MIN,132.8,7.0,2.0,3.0,12.0
Adam Trautman,TE,NO,36.300000000000004,2.0,5.0,4.0,11.0
Adrian Peterson,RB,SEA,2.0,0.0,1.0,0.0,1.0
Albert Okwuegbunam,TE,DEN,41.9,2.0,4.0,6.0,12.0
Albert Wilson,WR,MIA,21.9,1.0,8.0,0.0,9.0
Alec Ingold,RB,LV,6.1,0.0,1.0,0.0,1.0
Alex Bachman,WR,NYG,-0.3,0.0,1.0,0.0,1.0
Alex Collins,RB,SEA,54.800000000000004,2.0,6.0,0.0,8.0
Alexander Mattison,RB,MIN,82.0,4.0,3.0,1.0,8.0
Allen Lazard,WR,GB,102.5,5.0,6.0,3.0,14.0
Allen Robinson II,WR,CHI,49.0,0.0,7.0,5.0,12.0
Alvin Kamara,RB,NO,187.7,9.0,3.0,1.0,13.0
Amari Cooper,WR,DAL,134.5,6.0,5.0,4.0,15.0
Amari Rodgers,WR,GB,0.5,0.0,1.0,0.0,1.0
Ameer Abdullah,RB,CAR,34.5,0.0,5.0,2.0,7.0
Amon-Ra St. Brown,WR,DET,137.3,5.0,5.0,6.0,16.0
Andre Roberts,WR,LAC,1.5,0.0,1.0,0.0,1.0
Andy Dalton,QB,CHI,92.8,0.0,3.0,4.0,7.0
Anthony Firkser,TE,TEN,36.0,2.0,4.0,5.0,11.0
Anthony Miller,WR,PIT,8.5,0.0,2.0,1.0,3.0
Anthony Schwartz,WR,CLE,14.5,0.0,7.0,1.0,8.0
Antoine Wesley,WR,ARI,38.800000000000004,1.0,4.0,3.0,8.0
Antonio Brown,WR,TB,79.1,4.0,2.0,1.0,7.0
Antonio Gibson,RB,WAS,187.1,7.0,4.0,5.0,16.0
Antony Auclair,TE,HOU,10.1,1.0,1.0,1.0,3.0
Ashton Dulin,WR,IND,17.0,0.0,8.0,1.0,9.0
Auden Tate,WR,CIN,9.9,0.0,2.0,1.0,3.0
Austin Ekeler,RB,LAC,273.8,11.0,1.0,4.0,16.0
Austin Hooper,TE,CLE,54.5,3.0,4.0,8.0,15.0
Austin Walter,RB,NYJ,4.9,0.0,1.0,0.0,1.0
Baker Mayfield,QB,CLE,193.8,1.0,7.0,6.0,14.0
Ben Roethlisberger,QB,PIT,228.0,2.0,8.0,6.0,16.0
Ben Skowronek,WR,LAR,6.8,0.0,2.0,1.0,3.0
Benny Snell Jr.,RB,PIT,2.2,0.0,1.0,0.0,1.0
Blake Bell,TE,KC,7.9,0.0,4.0,2.0,6.0
Blake Jarwin,TE,DAL,21.0,1.0,3.0,3.0,7.0
Boston Scott,RB,PHI,85.1,2.0,2.0,4.0,8.0
Brandin Cooks,WR,HOU,141.8,8.0,4.0,4.0,16.0
Brandon Aiyuk,WR,SF,114.3,8.0,7.0,2.0,17.0
Brandon Allen,QB,CIN,9.7,0.0,1.0,0.0,1.0
Brandon Bolden,RB,NE,51.900000000000006,1.0,7.0,1.0,9.0
Brandon Zylstra,WR,CAR,14.299999999999999,0.0,6.0,1.0,7.0
Braxton Berrios,WR,NYJ,58.599999999999994,3.0,2.0,3.0,8.0
Breshad Perriman,WR,TB,16.700000000000003,1.0,1.0,1.0,3.0
Brevin Jordan,TE,HOU,24.099999999999998,2.0,2.0,1.0,5.0
Brock Wright,TE,DET,22.5,2.0,3.0,1.0,6.0
Bryan Edwards,WR,LV,75.10000000000001,2.0,9.0,5.0,16.0
Brycen Hopkins,TE,LAR,0.9,0.0,1.0,0.0,1.0
Byron Pringle,WR,KC,64.5,2.0,7.0,3.0,12.0
C.J. Board,WR,NYG,4.5,0.0,2.0,0.0,2.0
C.J. Ham,RB,MIN,11.0,0.0,10.0,0.0,10.0
C.J. Uzomah,TE,CIN,79.3,3.0,5.0,8.0,16.0
Calvin Ridley,WR,ATL,40.1,1.0,0.0,4.0,5.0
Cam Newton,QB,CAR,79.1,2.0,2.0,1.0,5.0
Cam Sims,WR,WAS,21.2,1.0,4.0,1.0,6.0
Cameron Batson,WR,TEN,1.3,0.0,1.0,0.0,1.0
Cameron Brate,TE,TB,28.9,2.0,4.0,4.0,10.0
Carlos Hyde,RB,JAC,30.6,0.0,6.0,0.0,6.0
Carson Wentz,QB,IND,264.9,5.0,7.0,5.0,17.0
Case Keenum,QB,CLE,29.4,0.0,3.0,0.0,3.0
Cedrick Wilson Jr.,WR,DAL,101.0,4.0,5.0,4.0,13.0
CeeDee Lamb,WR,DAL,153.8,7.0,3.0,6.0,16.0
Charlie Woerner,TE,SF,4.1,0.0,2.0,1.0,3.0
Chase Claypool,WR,PIT,107.6,5.0,4.0,6.0,15.0
Chase Edmonds,RB,ARI,100.0,3.0,3.0,5.0,11.0
Chester Rogers,WR,TEN,32.4,0.0,9.0,3.0,12.0
Chris Carson,RB,SEA,42.1,2.0,1.0,1.0,4.0
Chris Conley,WR,HOU,42.6,2.0,12.0,0.0,14.0
Chris Evans,RB,CIN,11.9,0.0,0.0,1.0,1.0
Chris Godwin,WR,TB,139.5,8.0,1.0,4.0,13.0
Chris Hogan,WR,NO,1.6,0.0,1.0,0.0,1.0
Chris Manhertz,TE,JAC,12.0,1.0,8.0,0.0,9.0
