player,team,fantasy_points,great_game,poor_game,quality_game,games
Aaron Rodgers,GB,336.3,6.0,2.0,8.0,16.0
Andy Dalton,CHI,92.8,0.0,3.0,4.0,7.0
Baker Mayfield,CLE,193.8,0.0,5.0,9.0,14.0
Brandon Allen,CIN,9.7,0.0,1.0,0.0,1.0
Cam Newton,CAR,79.1,2.0,2.0,1.0,5.0
Carson Wentz,IND,264.9,1.0,7.0,9.0,17.0
Case Keenum,CLE,29.4,0.0,1.0,2.0,3.0
Colt McCoy,ARI,40.4,0.0,1.0,2.0,3.0
Cooper Rush,DAL,18.2,0.0,0.0,1.0,1.0
Dak Prescott,DAL,330.4,7.0,5.0,4.0,16.0
Daniel Jones,NYG,173.6,2.0,4.0,5.0,11.0
Davis Mills,HOU,167.0,2.0,7.0,4.0,13.0
Derek Carr,LV,270.6,2.0,8.0,7.0,17.0
Drew Lock,DEN,52.8,0.0,4.0,2.0,6.0
Gardner Minshew II,PHI,34.2,0.0,0.0,2.0,2.0
Garrett Gilbert,WAS,7.8,0.0,1.0,0.0,1.0
Geno Smith,SEA,55.300000000000004,0.0,3.0,1.0,4.0
Ian Book,NO,4.0,0.0,1.0,0.0,1.0
Jacoby Brissett,MIA,74.8,0.0,3.0,3.0,6.0
Jake Fromm,NYG,10.6,0.0,2.0,0.0,2.0
Jalen Hurts,PHI,321.2,5.0,2.0,8.0,15.0
Jameis Winston,NO,110.1,2.0,1.0,3.0,6.0
Jared Goff,DET,202.4,1.0,5.0,8.0,14.0
Jimmy Garoppolo,SF,239.5,1.0,3.0,11.0,15.0
Joe Burrow,CIN,328.1,3.0,2.0,11.0,16.0
Joe Flacco,NYJ,17.9,0.0,0.0,1.0,1.0
Jordan Love,GB,22.200000000000003,0.0,1.0,1.0,2.0
Josh Allen,BUF,417.7,7.0,2.0,8.0,17.0
Josh Johnson,BAL,20.2,0.0,0.0,1.0,1.0
Justin Fields,CHI,130.2,1.0,6.0,4.0,11.0
Justin Herbert,LAC,395.6,7.0,1.0,9.0,17.0
Kirk Cousins,MIN,307.3,4.0,2.0,10.0,16.0
Kyler Murray,ARI,310.5,4.0,1.0,9.0,14.0
Lamar Jackson,BAL,251.79999999999998,3.0,0.0,8.0,11.0
Mac Jones,NE,238.0,0.0,8.0,9.0,17.0
Mason Rudolph,PIT,16.3,0.0,0.0,1.0,1.0
Matt Ryan,ATL,234.8,2.0,9.0,6.0,17.0
Matthew Stafford,LAR,346.8,5.0,2.0,10.0,17.0
Mike Glennon,NYG,40.9,0.0,5.0,1.0,6.0
Mike White,NYJ,44.2,1.0,2.0,0.0,3.0
Nick Foles,CHI,16.8,0.0,0.0,1.0,1.0
Nick Mullens,CLE,9.9,0.0,1.0,0.0,1.0
P.J. Walker,CAR,6.3,0.0,1.0,0.0,1.0
Patrick Mahomes II,KC,374.2,8.0,3.0,6.0,17.0
Russell Wilson,SEA,248.7,3.0,4.0,7.0,14.0
Ryan Tannehill,TEN,282.3,1.0,2.0,14.0,17.0
Sam Darnold,CAR,170.5,2.0,6.0,4.0,12.0
Sean Mannion,MIN,13.0,0.0,0.0,1.0,1.0
Taylor Heinicke,WAS,236.7,1.0,8.0,7.0,16.0
Taysom Hill,NO,118.39999999999999,2.0,5.0,2.0,9.0
Teddy Bridgewater,DEN,209.8,0.0,4.0,10.0,14.0
Tim Boyle,DET,30.5,0.0,2.0,1.0,3.0
Trevor Lawrence,JAC,216.0,0.0,9.0,8.0,17.0
Trevor Siemian,NO,93.2,1.0,3.0,2.0,6.0
Trey Lance,SF,56.1,0.0,0.0,3.0,3.0
Tua Tagovailoa,MIA,190.4,1.0,4.0,7.0,12.0
Tyler Huntley,BAL,84.1,1.0,3.0,1.0,5.0
Tyrod Taylor,HOU,86.7,0.0,2.0,4.0,6.0
Zach Wilson,NYJ,160.9,0.0,7.0,5.0,12.0
