player,team,fantasy_points,great_game,poor_game,quality_game,games
AJ Dillon,GB,145.0,2.0,0.0,11.0,13.0
Aaron Jones,GB,177.0,4.0,3.0,8.0,15.0
Adam Prentice,NO,0.8999999999999999,0.0,2.0,0.0,2.0
Alec Ingold,LV,6.1,0.0,0.0,1.0,1.0
Alex Collins,SEA,54.800000000000004,0.0,5.0,3.0,8.0
Alexander Mattison,MIN,82.0,3.0,3.0,2.0,8.0
Alvin Kamara,NO,187.7,5.0,2.0,6.0,13.0
Ameer Abdullah,CAR,34.5,0.0,4.0,3.0,7.0
Antonio Gibson,WAS,187.1,6.0,2.0,8.0,16.0
Austin Ekeler,LAC,273.8,7.0,0.0,9.0,16.0
Austin Walter,NYJ,4.9,0.0,1.0,0.0,1.0
Benny Snell Jr.,PIT,2.2,0.0,1.0,0.0,1.0
Boston Scott,PHI,85.1,2.0,2.0,4.0,8.0
Brandon Bolden,NE,51.900000000000006,1.0,5.0,3.0,9.0
C.J. Ham,MIN,11.0,0.0,10.0,0.0,10.0
Carlos Hyde,JAC,30.6,0.0,2.0,4.0,6.0
Chase Edmonds,ARI,100.0,1.0,2.0,8.0,11.0
Chris Carson,SEA,42.1,0.0,1.0,3.0,4.0
Chris Evans,CIN,11.9,0.0,0.0,1.0,1.0
Christian McCaffrey,CAR,86.5,3.0,1.0,2.0,6.0
Chuba Hubbard,CAR,98.3,0.0,2.0,9.0,11.0
Clyde Edwards-Helaire,KC,86.0,1.0,1.0,6.0,8.0
Cordarrelle Patterson,ATL,149.1,2.0,2.0,10.0,14.0
Corey Clement,DAL,4.6,0.0,1.0,0.0,1.0
Craig Reynolds,DET,26.7,0.0,0.0,3.0,3.0
D'Andre Swift,DET,146.0,5.0,3.0,4.0,12.0
D'Ernest Johnson,CLE,80.4,2.0,4.0,3.0,9.0
D'Onta Foreman,TEN,78.0,1.0,0.0,6.0,7.0
Dalvin Cook,MIN,172.3,4.0,2.0,7.0,13.0
Damien Harris,NE,158.3,3.0,2.0,8.0,13.0
Damien Williams,CHI,31.4,0.0,1.0,2.0,3.0
Dare Ogunbowale,JAC,31.5,0.0,0.0,3.0,3.0
Darrel Williams,KC,141.6,3.0,5.0,6.0,14.0
Darrell Henderson Jr.,LAR,130.0,2.0,1.0,7.0,10.0
David Johnson,HOU,33.9,0.0,6.0,3.0,9.0
David Montgomery,CHI,154.0,5.0,0.0,8.0,13.0
DeeJay Dallas,SEA,31.799999999999997,0.0,3.0,2.0,5.0
Demetric Felton,CLE,5.0,0.0,2.0,0.0,2.0
Derrick Gore,KC,3.0,0.0,1.0,0.0,1.0
Derrick Henry,TEN,175.3,5.0,0.0,3.0,8.0
Devin Singletary,BUF,155.5,2.0,6.0,8.0,16.0
Devonta Freeman,BAL,93.7,0.0,2.0,9.0,11.0
Devontae Booker,NYG,99.1,1.0,5.0,7.0,13.0
Dontrell Hilliard,TEN,38.5,1.0,1.0,3.0,5.0
Duke Johnson Jr.,MIA,53.3,2.0,1.0,1.0,4.0
Elijah Mitchell,SF,146.0,5.0,0.0,6.0,11.0
Elijhaa Penny,NYG,2.4,0.0,1.0,0.0,1.0
Eno Benjamin,ARI,5.6,0.0,0.0,1.0,1.0
Ezekiel Elliott,DAL,205.1,4.0,3.0,10.0,17.0
Giovani Bernard,TB,11.1,0.0,0.0,1.0,1.0
Godwin Igwebuike,DET,2.6,0.0,2.0,0.0,2.0
J.D. McKissic,WAS,84.9,1.0,5.0,5.0,11.0
JaMycal Hasty,SF,5.9,0.0,0.0,1.0,1.0
Jakob Johnson,NE,3.2,0.0,3.0,0.0,3.0
Jamaal Williams,DET,79.5,1.0,1.0,7.0,9.0
James Conner,ARI,208.3,6.0,1.0,7.0,14.0
James Robinson,JAC,138.0,3.0,2.0,7.0,12.0
James White,NE,18.6,0.0,0.0,2.0,2.0
Jaret Patterson,WAS,15.8,0.0,0.0,1.0,1.0
Jason Huntley,PHI,5.1,0.0,0.0,1.0,1.0
Javonte Williams,DEN,161.9,3.0,4.0,10.0,17.0
Jeff Wilson Jr.,SF,43.8,1.0,1.0,3.0,5.0
