player,team,fantasy_points,great_game,poor_game,quality_game,games
Adam Shaheen,MIA,11.0,0.0,0.0,8.0,8.0
Adam Trautman,NO,36.300000000000004,1.0,0.0,10.0,11.0
Albert Okwuegbunam,DEN,41.9,1.0,0.0,11.0,12.0
Anthony Firkser,TEN,36.0,1.0,0.0,10.0,11.0
Antony Auclair,HOU,10.1,0.0,0.0,3.0,3.0
Austin Hooper,CLE,54.5,1.0,0.0,14.0,15.0
Blake Bell,KC,7.9,0.0,0.0,6.0,6.0
Blake Jarwin,DAL,21.0,0.0,0.0,7.0,7.0
Brevin Jordan,HOU,24.099999999999998,0.0,0.0,5.0,5.0
Brock Wright,DET,22.5,2.0,0.0,4.0,6.0
Brycen Hopkins,LAR,0.9,0.0,0.0,1.0,1.0
C.J. Uzomah,CIN,79.3,2.0,0.0,14.0,16.0
Cameron Brate,TB,28.9,0.0,0.0,10.0,10.0
Charlie Woerner,SF,4.1,0.0,0.0,3.0,3.0
Chris Manhertz,JAC,12.0,0.0,0.0,9.0,9.0
Chris Myarick,NYG,7.1,0.0,0.0,1.0,1.0
Colby Parkinson,SEA,1.5,0.0,0.0,3.0,3.0
Cole Kmet,CHI,61.2,0.0,0.0,17.0,17.0
Dallas Goedert,PHI,106.2,5.0,0.0,9.0,14.0
Dalton Schultz,DAL,130.8,6.0,0.0,11.0,17.0
Dan Arnold,JAC,31.5,0.0,0.0,7.0,7.0
Darrell Daniels,ARI,0.0,0.0,0.0,8.0,8.0
Darren Waller,LV,75.2,4.0,0.0,6.0,10.0
David Njoku,CLE,71.60000000000001,3.0,0.0,12.0,15.0
Dawson Knox,BUF,115.1,5.0,0.0,10.0,15.0
Demetrius Harris,ARI,1.0,0.0,0.0,3.0,3.0
Dominique Dafney,GB,0.0,0.0,0.0,2.0,2.0
Donald Parham Jr.,LAC,38.7,2.0,0.0,10.0,12.0
Drew Sample,CIN,6.5,0.0,0.0,8.0,8.0
Durham Smythe,MIA,36.0,0.0,0.0,15.0,15.0
Eric Saubert,DEN,10.7,0.0,0.0,8.0,8.0
Eric Tomlinson,BAL,0.7,0.0,0.0,4.0,4.0
Evan Engram,NYG,56.5,1.0,0.0,14.0,15.0
Foster Moreau,LV,55.300000000000004,2.0,0.0,12.0,14.0
Garrett Griffin,NO,3.9,0.0,0.0,2.0,2.0
Geoff Swaim,TEN,39.0,1.0,0.0,15.0,16.0
George Kittle,SF,127.0,7.0,0.0,7.0,14.0
Giovanni Ricci,CAR,0.0,0.0,0.0,1.0,1.0
Harrison Bryant,CLE,24.1,0.0,0.0,12.0,12.0
Hayden Hurst,ATL,34.8,0.0,0.0,11.0,11.0
Hunter Henry,NE,114.3,4.0,0.0,12.0,16.0
Hunter Long,MIA,0.0,0.0,0.0,1.0,1.0
Ian Thomas,CAR,18.8,0.0,0.0,14.0,14.0
Jack Doyle,IND,47.8,1.0,0.0,13.0,14.0
Jack Stoll,PHI,2.2,0.0,0.0,4.0,4.0
Jacob Hollister,JAC,4.9,0.0,0.0,3.0,3.0
James O'Shaughnessy,JAC,24.0,0.0,0.0,6.0,6.0
Jared Cook,LAC,84.4,1.0,0.0,15.0,16.0
Jeremy Sprinkle,DAL,1.0,0.0,0.0,1.0,1.0
Jesse James,CHI,12.200000000000001,1.0,0.0,3.0,4.0
John Bates,WAS,29.8,1.0,0.0,8.0,9.0
Johnny Mundt,LAR,0.0,0.0,0.0,1.0,1.0
Jonnu Smith,NE,33.2,0.0,0.0,14.0,14.0
Jordan Akins,HOU,17.1,0.0,2.0,8.0,10.0
Josiah Deguara,GB,32.1,2.0,0.0,7.0,9.0
Juwan Johnson,NO,6.9,0.0,0.0,5.0,5.0
Kaden Smith,NYG,3.3,0.0,0.0,4.0,4.0
Kendall Blanton,LAR,2.9,0.0,0.0,2.0,2.0
Kenny Yeboah,NYJ,3.6,0.0,0.0,1.0,1.0
Kyle Pitts,ATL,108.6,3.0,0.0,14.0,17.0
Kyle Rudolph,NYG,30.9,0.0,0.0,13.0,13.0
Kylen Granson,IND,2.3,0.0,0.0,4.0,4.0
Logan Thomas,WAS,35.6,2.0,0.0,3.0,5.0
Luke Farrell,JAC,1.2999999999999998,0.0,0.0,4.0,4.0
Luke Stocker,MIN,0.5,0.0,0.0,1.0,1.0
Marcedes Lewis,GB,19.5,0.0,0.0,11.0,11.0
Mark Andrews,BAL,194.1,9.0,0.0,8.0,17.0
Maxx Williams,ARI,25.3,2.0,0.0,3.0,5.0
Mike Gesicki,MIA,92.0,3.0,0.0,14.0,17.0
Mitchell Wilcox,CIN,1.6,0.0,0.0,1.0,1.0
Mo Alie-Cox,IND,55.6,2.0,0.0,15.0,17.0
MyCole Pruitt,TEN,31.1,0.0,0.0,11.0,11.0
Nick Boyle,BAL,0.0,0.0,0.0,1.0,1.0
Nick Vannett,NO,16.3,0.0,0.0,5.0,5.0
Noah Fant,DEN,91.0,4.0,0.0,12.0,16.0
Noah Gray,KC,7.7,0.0,0.0,3.0,3.0
Noah Togiai,PHI,0.0,0.0,0.0,1.0,1.0
O.J. Howard,TB,15.3,1.0,0.0,6.0,7.0
Parker Hesse,ATL,3.8,0.0,0.0,2.0,2.0
Pat Freiermuth,PIT,91.7,4.0,0.0,12.0,16.0
Pharaoh Brown,HOU,15.100000000000001,0.0,0.0,13.0,13.0
Richard Rodgers,PHI,1.1,0.0,0.0,1.0,1.0
Ricky Seals-Jones,WAS,30.400000000000002,1.0,1.0,7.0,9.0
Rob Gronkowski,TB,116.2,6.0,0.0,5.0,11.0
Robert Tonyan,GB,32.4,2.0,0.0,6.0,8.0
Ross Dwelley,SF,3.0,0.0,0.0,2.0,2.0
Ryan Griffin,NYJ,38.1,1.0,0.0,13.0,14.0
Sean McKeon,DAL,1.5,0.0,0.0,1.0,1.0
Shane Zylstra,DET,3.4000000000000004,0.0,0.0,2.0,2.0
Stephen Anderson,LAC,18.7,1.0,0.0,5.0,6.0
T.J. Hockenson,DET,84.3,5.0,0.0,7.0,12.0
Tommy Hudson,TEN,0.3,0.0,0.0,1.0,1.0
Tommy Sweeney,BUF,4.0,0.0,0.0,3.0,3.0
Tommy Tremble,CAR,23.4,0.0,0.0,13.0,13.0
Travis Kelce,KC,170.8,10.0,0.0,6.0,16.0
Tre' McKitty,LAC,2.6,0.0,0.0,2.0,2.0
Trevon Wesco,NYJ,0.0,0.0,0.0,3.0,3.0
Tyler Conklin,MIN,77.3,2.0,0.0,15.0,17.0
Tyler Davis,GB,3.1,0.0,0.0,3.0,3.0
Tyler Higbee,LAR,86.0,2.0,0.0,13.0,15.0
Tyler Kroft,NYJ,19.5,0.0,0.0,8.0,8.0
