player,team,fantasy_points,great_game,poor_game,quality_game,games
A.J. Brown,TEN,117.6,4.0,0.0,8.0,12.0
A.J. Green,ARI,102.8,2.0,3.0,11.0,16.0
Adam Humphries,WAS,38.3,0.0,9.0,8.0,17.0
Adam Thielen,MIN,132.8,5.0,0.0,7.0,12.0
Albert Wilson,MIA,21.9,0.0,7.0,2.0,9.0
Alex Bachman,NYG,-0.3,0.0,1.0,0.0,1.0
Allen Lazard,GB,102.5,3.0,4.0,7.0,14.0
Allen Robinson II,CHI,49.0,0.0,3.0,9.0,12.0
Amari Cooper,DAL,134.5,4.0,1.0,10.0,15.0
Amari Rodgers,GB,0.5,0.0,1.0,0.0,1.0
Amon-Ra St. Brown,DET,137.3,5.0,3.0,8.0,16.0
Anthony Miller,PIT,0.2,0.0,1.0,0.0,1.0
Anthony Schwartz,CLE,14.5,0.0,7.0,1.0,8.0
Antoine Wesley,ARI,38.800000000000004,1.0,4.0,3.0,8.0
Ashton Dulin,IND,17.0,0.0,5.0,4.0,9.0
Auden Tate,CIN,9.9,0.0,2.0,1.0,3.0
Ben Skowronek,LAR,6.8,0.0,2.0,1.0,3.0
Brandin Cooks,HOU,141.8,5.0,2.0,9.0,16.0
Brandon Aiyuk,SF,114.3,3.0,4.0,10.0,17.0
Brandon Zylstra,CAR,14.299999999999999,0.0,4.0,3.0,7.0
Braxton Berrios,NYJ,58.599999999999994,1.0,1.0,6.0,8.0
Breshad Perriman,TB,16.700000000000003,0.0,1.0,2.0,3.0
Bryan Edwards,LV,75.10000000000001,1.0,5.0,10.0,16.0
Byron Pringle,KC,64.5,1.0,3.0,8.0,12.0
C.J. Board,NYG,4.5,0.0,1.0,1.0,2.0
Calvin Ridley,ATL,40.1,1.0,0.0,4.0,5.0
Cam Sims,WAS,21.2,1.0,3.0,2.0,6.0
Cameron Batson,TEN,1.3,0.0,1.0,0.0,1.0
Cedrick Wilson Jr.,DAL,101.0,3.0,1.0,9.0,13.0
CeeDee Lamb,DAL,153.8,5.0,2.0,9.0,16.0
Chase Claypool,PIT,107.6,2.0,3.0,10.0,15.0
Chester Rogers,TEN,32.4,0.0,6.0,6.0,12.0
Chris Conley,HOU,42.6,1.0,8.0,5.0,14.0
Chris Godwin,TB,139.5,7.0,1.0,5.0,13.0
Chris Moore,HOU,32.1,1.0,1.0,2.0,4.0
Christian Blake,ATL,0.0,0.0,2.0,0.0,2.0
Christian Kirk,ARI,130.6,3.0,2.0,12.0,17.0
Cody Hollister,TEN,3.3000000000000003,0.0,2.0,1.0,3.0
Cody White,PIT,1.6,0.0,1.0,0.0,1.0
Cole Beasley,BUF,75.8,1.0,3.0,11.0,15.0
Collin Johnson,NYG,8.2,0.0,3.0,1.0,4.0
Cooper Kupp,LAR,294.5,12.0,0.0,5.0,17.0
Corey Davis,NYJ,71.2,2.0,2.0,5.0,9.0
Courtland Sutton,DEN,92.2,3.0,6.0,8.0,17.0
Curtis Samuel,WAS,1.9,0.0,1.0,0.0,1.0
Cyril Grayson Jr.,TB,23.6,1.0,0.0,1.0,2.0
D'Wayne Eskridge,SEA,14.9,0.0,3.0,2.0,5.0
D.J. Chark Jr.,JAC,27.4,1.0,1.0,1.0,3.0
D.J. Montgomery,NYJ,3.6,0.0,0.0,1.0,1.0
D.K. Metcalf,SEA,169.3,6.0,1.0,10.0,17.0
DJ Moore,CAR,144.5,3.0,0.0,14.0,17.0
Damiere Byrd,CHI,37.9,1.0,2.0,6.0,9.0
Danny Amendola,HOU,34.5,1.0,2.0,2.0,5.0
Dante Pettis,NYG,15.3,0.0,0.0,2.0,2.0
Darius Slayton,NYG,41.8,0.0,6.0,6.0,12.0
Darnell Mooney,CHI,138.7,6.0,2.0,9.0,17.0
Davante Adams,GB,221.3,7.0,0.0,9.0,16.0
David Sills V,NYG,1.2,0.0,2.0,0.0,2.0
Davion Davis,HOU,0.0,0.0,1.0,0.0,1.0
Dax Milne,WAS,2.2,0.0,2.0,0.0,2.0
Dazz Newsome,CHI,1.0,0.0,2.0,0.0,2.0
DeAndre Carter,WAS,50.8,0.0,3.0,7.0,10.0
DeAndre Hopkins,ARI,98.60000000000001,3.0,1.0,5.0,9.0
DeSean Jackson,LV,24.299999999999997,1.0,3.0,1.0,5.0
DeVante Parker,MIA,63.5,2.0,2.0,6.0,10.0
DeVonta Smith,PHI,117.5,5.0,3.0,8.0,16.0
Dede Westbrook,MIN,0.2,0.0,4.0,0.0,4.0
Deebo Samuel,SF,262.0,12.0,0.0,4.0,16.0
Demarcus Robinson,KC,44.2,0.0,10.0,4.0,14.0
Denzel Mims,NYJ,6.0,0.0,7.0,1.0,8.0
Deonte Harty,NO,55.4,2.0,3.0,5.0,10.0
Devin Duvernay,BAL,44.0,0.0,7.0,8.0,15.0
Dez Fitzpatrick,TEN,9.5,0.0,0.0,1.0,1.0
Dezmon Patmon,IND,0.7,0.0,1.0,0.0,1.0
Diontae Johnson,PIT,167.4,4.0,0.0,12.0,16.0
Diontae Spencer,DEN,-0.3,0.0,1.0,0.0,1.0
Donovan Peoples-Jones,CLE,75.7,2.0,6.0,6.0,14.0
Dyami Brown,WAS,7.699999999999999,0.0,4.0,2.0,6.0
Elijah Moore,NYJ,95.19999999999999,3.0,2.0,6.0,11.0
Emmanuel Sanders,BUF,89.7,2.0,2.0,10.0,14.0
Equanimeous St. Brown,GB,8.5,0.0,3.0,2.0,5.0
Freddie Swain,SEA,61.5,1.0,10.0,6.0,17.0
Gabriel Davis,BUF,78.0,1.0,1.0,9.0,11.0
Greg Ward,PHI,9.100000000000001,0.0,3.0,1.0,4.0
Hunter Renfrow,LV,156.1,5.0,0.0,12.0,17.0
Ihmir Smith-Marsette,MIN,23.0,1.0,0.0,1.0,2.0
Isaiah McKenzie,BUF,19.299999999999997,1.0,1.0,0.0,2.0
J.J. Arcega-Whiteside,PHI,0.0,0.0,1.0,0.0,1.0
Ja'Marcus Bradley,CLE,6.3999999999999995,0.0,1.0,1.0,2.0
Ja'Marr Chase,CIN,221.0,7.0,1.0,8.0,16.0
Jaelon Darden,TB,0.0,0.0,1.0,0.0,1.0
Jakobi Meyers,NE,103.30000000000001,1.0,1.0,14.0,16.0
Jalen Camp,HOU,0.0,0.0,1.0,0.0,1.0
Jalen Guyton,LAC,66.2,2.0,7.0,7.0,16.0
Jalen Reagor,PHI,43.0,0.0,9.0,7.0,16.0
Jamal Agnew,JAC,40.2,1.0,0.0,4.0,5.0
James Proche II,BAL,16.5,0.0,1.0,2.0,3.0
James Washington,PIT,39.9,1.0,6.0,4.0,11.0
Jamison Crowder,NYJ,57.1,0.0,3.0,8.0,11.0
Jarvis Landry,CLE,80.1,2.0,1.0,8.0,11.0
Jason Moore Jr.,LAC,5.6,0.0,0.0,1.0,1.0
Jauan Jennings,SF,49.099999999999994,1.0,4.0,4.0,9.0
Jaylen Waddle,MIA,141.79999999999998,4.0,0.0,12.0,16.0
Jeff Smith,NYJ,1.5,0.0,2.0,0.0,2.0
Jerry Jeudy,DEN,47.0,0.0,1.0,9.0,10.0
John Ross,NYG,17.7,1.0,3.0,1.0,5.0
Josh Gordon,KC,7.6000000000000005,0.0,2.0,1.0,3.0
Josh Reynolds,DET,42.6,2.0,2.0,3.0,7.0
Joshua Palmer,LAC,42.0,1.0,4.0,4.0,9.0
Julio Jones,TEN,49.400000000000006,1.0,2.0,7.0,10.0
Justin Jefferson,MIN,222.4,10.0,1.0,6.0,17.0
Juwann Winfree,GB,2.6,0.0,1.0,1.0,2.0
K.J. Osborn,MIN,108.5,4.0,7.0,6.0,17.0
KJ Hamler,DEN,4.6,0.0,1.0,1.0,2.0
