player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Cooper Kupp,LAR,WR,17,10.0,11.0,12.0,13.0,10.0,12.0,13.0,9.0,13.0,13.0,0.0,10.0,10.0,15.0,13.0,13.0,7.0,7.0,191.0,11.235294117647058,1.0,1.0
Diontae Johnson,PIT,WR,16,10.0,12.0,0.0,13.0,2.0,13.0,0.0,13.0,6.0,13.0,13.0,14.0,11.0,10.0,5.0,9.0,15.0,10.0,169.0,10.5625,2.5,2.5
Davante Adams,GB,WR,16,7.0,9.0,18.0,11.0,16.0,5.0,7.0,0.0,14.0,11.0,8.0,9.0,0.0,13.0,7.0,13.0,14.0,7.0,169.0,10.5625,2.5,2.5
Calvin Ridley,ATL,WR,5,8.0,10.0,11.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.4,135.0,4.0
Justin Jefferson,MIN,WR,17,9.0,10.0,11.0,7.0,8.0,14.0,0.0,4.0,5.0,11.0,10.0,9.0,14.0,15.0,10.0,12.0,11.0,7.0,167.0,9.823529411764707,4.0,5.0
Keenan Allen,LAC,WR,16,13.0,8.0,12.0,11.0,9.0,5.0,0.0,11.0,13.0,11.0,13.0,10.0,8.0,0.0,10.0,6.0,9.0,8.0,157.0,9.8125,8.0,6.0
Stefon Diggs,BUF,WR,17,13.0,8.0,10.0,11.0,5.0,11.0,0.0,7.0,8.0,13.0,6.0,9.0,7.0,13.0,7.0,13.0,9.0,14.0,164.0,9.647058823529411,5.0,7.0
DJ Moore,CAR,WR,17,8.0,11.0,12.0,12.0,7.0,13.0,10.0,8.0,7.0,7.0,7.0,10.0,0.0,10.0,11.0,12.0,8.0,10.0,163.0,9.588235294117647,6.0,8.0
Tyreek Hill,KC,WR,17,15.0,4.0,7.0,12.0,13.0,12.0,9.0,18.0,11.0,10.0,11.0,0.0,5.0,4.0,13.0,2.0,10.0,3.0,159.0,9.352941176470589,7.0,9.0
Marquise Brown,BAL,WR,16,6.0,10.0,7.0,5.0,10.0,5.0,14.0,0.0,12.0,13.0,0.0,10.0,7.0,8.0,14.0,9.0,8.0,8.0,146.0,9.125,10.0,10.0
Chris Godwin,TB,WR,14,13.0,5.0,7.0,5.0,11.0,5.0,11.0,12.0,0.0,8.0,6.0,5.0,17.0,15.0,7.0,0.0,0.0,0.0,127.0,9.071428571428571,21.0,11.0
Mark Andrews,BAL,TE,17,5.0,5.0,7.0,8.0,13.0,6.0,7.0,0.0,10.0,8.0,10.0,10.0,9.0,11.0,13.0,10.0,6.0,15.0,153.0,9.0,9.0,12.0
Antonio Brown,TB,WR,7,7.0,3.0,0.0,11.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,62.0,8.857142857142858,101.5,13.0
Jaylen Waddle,MIA,WR,16,5.0,8.0,13.0,4.0,6.0,13.0,8.0,11.0,10.0,6.0,9.0,10.0,11.0,0.0,0.0,12.0,7.0,7.0,140.0,8.75,11.5,14.0
Darren Waller,LV,TE,11,19.0,7.0,7.0,7.0,8.0,5.0,0.0,0.0,11.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,93.0,8.454545454545455,49.5,15.0
Brandin Cooks,HOU,WR,16,7.0,14.0,11.0,7.0,5.0,13.0,7.0,6.0,14.0,0.0,3.0,5.0,6.0,11.0,10.0,0.0,11.0,4.0,134.0,8.375,13.5,16.5
Travis Kelce,KC,TE,16,7.0,8.0,11.0,6.0,10.0,11.0,12.0,6.0,8.0,10.0,8.0,0.0,8.0,4.0,13.0,0.0,7.0,5.0,134.0,8.375,13.5,16.5
Darnell Mooney,CHI,WR,17,7.0,8.0,4.0,7.0,5.0,8.0,5.0,9.0,6.0,0.0,16.0,8.0,7.0,5.0,7.0,9.0,13.0,16.0,140.0,8.235294117647058,11.5,18.0
A.J. Brown,TEN,WR,13,8.0,9.0,2.0,0.0,6.0,9.0,9.0,11.0,11.0,4.0,9.0,0.0,0.0,0.0,0.0,16.0,5.0,6.0,105.0,8.076923076923077,35.5,19.0
Mike Williams,LAC,WR,16,12.0,10.0,9.0,4.0,16.0,5.0,0.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,9.0,0.0,4.0,17.0,129.0,8.0625,17.0,20.0
Kristian Wilkerson,NE,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,353.0,21.0
Jakobi Meyers,NE,WR,16,9.0,6.0,14.0,12.0,5.0,6.0,7.0,9.0,4.0,4.0,6.0,8.0,0.0,0.0,12.0,8.0,8.0,8.0,126.0,7.875,22.0,22.0
Tee Higgins,CIN,WR,14,5.0,10.0,0.0,0.0,7.0,6.0,15.0,6.0,8.0,0.0,3.0,8.0,14.0,7.0,3.0,13.0,5.0,0.0,110.0,7.857142857142857,32.0,23.0
Robert Woods,LAR,WR,9,4.0,9.0,6.0,6.0,14.0,5.0,6.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.666666666666667,82.5,24.0
Terry McLaurin,WAS,WR,17,4.0,14.0,7.0,13.0,11.0,8.0,12.0,7.0,0.0,8.0,7.0,7.0,5.0,3.0,4.0,6.0,8.0,6.0,130.0,7.647058823529412,15.0,25.0
D.K. Metcalf,SEA,WR,17,5.0,11.0,9.0,8.0,5.0,7.0,5.0,6.0,0.0,8.0,8.0,4.0,8.0,8.0,12.0,5.0,9.0,11.0,129.0,7.588235294117647,17.0,26.5
Michael Pittman Jr.,IND,WR,17,4.0,12.0,12.0,8.0,7.0,3.0,4.0,15.0,6.0,5.0,5.0,10.0,8.0,0.0,5.0,12.0,6.0,7.0,129.0,7.588235294117647,17.0,26.5
Sterling Shepard,NYG,WR,7,9.0,10.0,3.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,53.0,7.571428571428571,130.0,28.0
Deebo Samuel,SF,WR,16,12.0,8.0,10.0,13.0,9.0,0.0,11.0,9.0,9.0,5.0,2.0,4.0,0.0,1.0,5.0,11.0,6.0,6.0,121.0,7.5625,23.0,29.0
Ja'Marr Chase,CIN,WR,17,7.0,4.0,5.0,9.0,10.0,6.0,10.0,9.0,13.0,0.0,6.0,3.0,8.0,8.0,4.0,10.0,12.0,4.0,128.0,7.529411764705882,19.5,30.5
Hunter Renfrow,LV,WR,17,9.0,7.0,6.0,8.0,8.0,5.0,8.0,0.0,9.0,9.0,4.0,9.0,10.0,14.0,5.0,3.0,9.0,5.0,128.0,7.529411764705882,19.5,30.5
CeeDee Lamb,DAL,WR,16,15.0,9.0,3.0,5.0,6.0,11.0,0.0,8.0,9.0,7.0,4.0,0.0,13.0,10.0,9.0,5.0,4.0,2.0,120.0,7.5,24.5,32.0
Amon-Ra St. Brown,DET,WR,16,4.0,5.0,1.0,8.0,8.0,7.0,0.0,5.0,0.0,6.0,4.0,4.0,12.0,12.0,11.0,11.0,11.0,10.0,119.0,7.4375,26.0,33.0
D.J. Chark Jr.,JAC,WR,3,12.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.333333333333333,255.0,34.5
