player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Austin Ekeler,LAC,16,0.0,9.0,6.0,5.0,5.0,7.0,0.0,10.0,3.0,6.0,7.0,8.0,5.0,4.0,4.0,0.0,3.0,12.0,94.0,5.875,1.0,1.0
Leonard Fournette,TB,14,7.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,0.0,9.0,6.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,77.0,5.5,3.0,2.0
Najee Harris,PIT,17,3.0,5.0,19.0,7.0,5.0,7.0,0.0,3.0,3.0,4.0,6.0,5.0,5.0,3.0,5.0,7.0,3.0,4.0,91.0,5.352941176470588,2.0,3.0
D'Andre Swift,DET,13,11.0,5.0,7.0,6.0,6.0,7.0,10.0,5.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,67.0,5.153846153846154,4.5,4.0
Ameer Abdullah,CAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,6.0,0.0,4.0,4.0,6.0,4.0,11.0,49.0,4.9,20.5,5.0
Alvin Kamara,NO,13,4.0,6.0,4.0,0.0,8.0,0.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,6.0,2.0,63.0,4.846153846153846,7.0,6.0
J.D. McKissic,WAS,11,1.0,6.0,2.0,5.0,4.0,10.0,6.0,8.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.7272727272727275,15.5,7.0
Christian McCaffrey,CAR,7,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.571428571428571,43.5,8.0
Aaron Jones,GB,15,2.0,6.0,2.0,4.0,5.0,4.0,5.0,11.0,2.0,6.0,0.0,1.0,0.0,3.0,2.0,6.0,6.0,0.0,63.0,4.2,7.0,9.0
Cordarrelle Patterson,ATL,16,2.0,7.0,7.0,6.0,9.0,0.0,5.0,5.0,6.0,2.0,0.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,67.0,4.1875,4.5,10.0
Saquon Barkley,NYG,13,3.0,3.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,3.0,8.0,1.0,1.0,4.0,54.0,4.153846153846154,12.0,11.0
Josh Jacobs,LV,15,2.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,4.0,5.0,7.0,4.0,9.0,6.0,4.0,3.0,4.0,2.0,62.0,4.133333333333334,9.0,12.0
Chase Edmonds,ARI,12,4.0,5.0,8.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,49.0,4.083333333333333,20.5,13.0
