player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Mark Andrews,BAL,17,5.0,5.0,7.0,8.0,13.0,6.0,7.0,0.0,10.0,8.0,10.0,10.0,9.0,11.0,13.0,10.0,6.0,15.0,148.0,8.705882352941176,1.0,1.0
Travis Kelce,KC,16,7.0,8.0,11.0,6.0,10.0,11.0,12.0,6.0,8.0,10.0,8.0,0.0,8.0,4.0,13.0,0.0,7.0,5.0,127.0,7.9375,2.0,2.0
Zach Ertz,ARI,11,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,9.0,0.0,2.0,7.0,11.0,13.0,9.0,10.0,81.0,7.363636363636363,10.0,3.0
Darren Waller,LV,11,19.0,7.0,7.0,7.0,8.0,5.0,0.0,0.0,11.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,6.7272727272727275,15.0,4.0
Rob Gronkowski,TB,12,8.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,8.0,9.0,11.0,2.0,10.0,10.0,80.0,6.666666666666667,11.0,5.0
Mike Gesicki,MIA,17,3.0,6.0,12.0,6.0,7.0,9.0,8.0,4.0,8.0,7.0,6.0,3.0,11.0,0.0,8.0,4.0,7.0,3.0,109.0,6.411764705882353,3.0,6.0
George Kittle,SF,14,5.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,2.0,12.0,15.0,6.0,3.0,2.0,7.0,89.0,6.357142857142857,6.0,7.0
T.J. Hockenson,DET,12,11.0,9.0,2.0,8.0,3.0,11.0,9.0,11.0,0.0,1.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,73.0,6.083333333333333,16.5,8.0
Kyle Pitts,ATL,17,8.0,6.0,3.0,9.0,10.0,0.0,8.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,4.0,5.0,102.0,6.0,4.0,9.0
Dalton Schultz,DAL,17,6.0,2.0,7.0,8.0,8.0,6.0,0.0,7.0,5.0,2.0,8.0,7.0,5.0,3.0,8.0,9.0,10.0,3.0,98.0,5.764705882352941,5.0,10.0
Tyler Higbee,LAR,15,6.0,1.0,5.0,6.0,2.0,5.0,8.0,3.0,10.0,5.0,0.0,5.0,6.0,0.0,0.0,6.0,9.0,8.0,79.0,5.266666666666667,12.0,11.0
Noah Fant,DEN,16,8.0,6.0,3.0,10.0,4.0,11.0,7.0,4.0,0.0,6.0,0.0,4.0,4.0,4.0,6.0,4.0,7.0,2.0,82.0,5.125,9.0,12.5
Dan Arnold,JAC,8,0.0,0.0,0.0,2.0,8.0,5.0,0.0,10.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.125,28.0,12.5
Cole Kmet,CHI,17,7.0,1.0,4.0,3.0,4.0,5.0,6.0,6.0,8.0,0.0,2.0,11.0,7.0,5.0,9.0,5.0,5.0,5.0,86.0,5.0588235294117645,7.0,14.0
Tyler Conklin,MIN,17,4.0,4.0,8.0,6.0,3.0,5.0,0.0,7.0,7.0,5.0,3.0,3.0,9.0,2.0,3.0,5.0,9.0,4.0,83.0,4.882352941176471,8.0,15.0
Pat Freiermuth,PIT,16,1.0,4.0,5.0,1.0,2.0,7.0,0.0,7.0,6.0,9.0,7.0,4.0,4.0,3.0,4.0,0.0,6.0,9.0,78.0,4.875,13.0,16.0
Evan Engram,NYG,15,0.0,0.0,6.0,6.0,4.0,5.0,8.0,4.0,3.0,0.0,5.0,6.0,5.0,4.0,5.0,5.0,2.0,5.0,73.0,4.866666666666666,16.5,17.0
Dallas Goedert,PHI,15,5.0,2.0,4.0,5.0,3.0,0.0,5.0,7.0,6.0,2.0,8.0,3.0,6.0,0.0,9.0,4.0,7.0,0.0,71.0,4.733333333333333,19.0,18.0
Jared Cook,LAC,16,8.0,5.0,3.0,7.0,3.0,7.0,0.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,7.0,5.0,0.0,7.0,75.0,4.6875,14.0,19.0
Hunter Henry,NE,16,3.0,4.0,6.0,5.0,8.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,8.0,6.0,5.0,6.0,72.0,4.5,18.0,20.0
Dawson Knox,BUF,15,4.0,3.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0,1.0,10.0,3.0,6.0,9.0,5.0,3.0,2.0,5.0,67.0,4.466666666666667,20.0,21.0
Ricky Seals-Jones,WAS,11,0.0,1.0,0.0,4.0,9.0,6.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,7.0,1.0,2.0,0.0,49.0,4.454545454545454,24.0,22.0
Logan Thomas,WAS,5,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,4.4,53.0,23.0
Austin Hooper,CLE,15,3.0,5.0,3.0,5.0,0.0,3.0,3.0,6.0,2.0,5.0,7.0,3.0,0.0,6.0,0.0,5.0,5.0,0.0,58.0,3.8666666666666667,22.0,24.0
C.J. Uzomah,CIN,16,2.0,2.0,1.0,6.0,2.0,3.0,3.0,4.0,5.0,0.0,3.0,3.0,6.0,6.0,4.0,7.0,6.0,0.0,61.0,3.8125,21.0,25.0
James O'Shaughnessy,JAC,7,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,4.0,4.0,0.0,0.0,26.0,3.7142857142857144,47.0,26.0
Cameron Brate,TB,16,0.0,1.0,5.0,6.0,1.0,4.0,4.0,4.0,0.0,3.0,6.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,57.0,3.5625,23.0,27.0
Brevin Jordan,HOU,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,4.0,7.0,0.0,4.0,1.0,0.0,28.0,3.5,42.5,28.0
Adam Trautman,NO,11,6.0,0.0,1.0,1.0,2.0,0.0,3.0,6.0,7.0,6.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,37.0,3.3636363636363638,34.5,29.0
Maxx Williams,ARI,5,1.0,7.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.2,61.5,30.5
David Njoku,CLE,15,5.0,3.0,0.0,2.0,7.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,0.0,0.0,5.0,2.0,4.0,2.0,48.0,3.2,25.0,30.5
Robert Tonyan,GB,8,4.0,3.0,1.0,7.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.125,49.5,32.0
Foster Moreau,LV,15,0.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,9.0,4.0,1.0,2.0,44.0,2.933333333333333,26.0,33.0
Albert Okwuegbunam,DEN,14,3.0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,2.0,4.0,5.0,4.0,2.0,2.0,0.0,37.0,2.642857142857143,34.5,34.0
Anthony Firkser,TEN,15,4.0,0.0,0.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,0.0,5.0,2.0,1.0,3.0,4.0,39.0,2.6,31.5,35.5
Jack Doyle,IND,15,4.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,39.0,2.6,31.5,35.5
Jordan Akins,HOU,12,2.0,2.0,5.0,1.0,2.0,6.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,31.0,2.5833333333333335,40.0,37.0
Ryan Griffin,NYJ,14,6.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,7.0,2.0,4.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,36.0,2.5714285714285716,36.0,38.0
Mo Alie-Cox,IND,17,2.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,5.0,3.0,43.0,2.5294117647058822,27.0,39.0
Jonnu Smith,NE,16,5.0,5.0,6.0,5.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,40.0,2.5,29.0,40.0
Geoff Swaim,TEN,16,1.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,3.0,1.0,39.0,2.4375,31.5,41.5
Durham Smythe,MIA,16,2.0,0.0,1.0,2.0,3.0,6.0,4.0,0.0,2.0,1.0,5.0,5.0,1.0,0.0,1.0,3.0,3.0,2.0,39.0,2.4375,31.5,41.5
Zach Gentry,PIT,10,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,5.0,24.0,2.4,51.0,43.0
Josiah Deguara,GB,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,4.0,0.0,3.0,5.0,3.0,3.0,4.0,33.0,2.357142857142857,39.0,44.0
Tyree Jackson,PHI,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,2.3333333333333335,79.0,46.0
Shane Zylstra,DET,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,7.0,2.3333333333333335,79.0,46.0
Tommy Tremble,CAR,15,0.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,4.0,2.0,0.0,5.0,35.0,2.3333333333333335,37.0,46.0
Kyle Rudolph,NYG,15,5.0,2.0,0.0,3.0,1.0,2.0,2.0,3.0,5.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,6.0,34.0,2.2666666666666666,38.0,48.0
Hayden Hurst,ATL,12,4.0,1.0,1.0,4.0,5.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,27.0,2.25,44.5,49.0
Pharaoh Brown,HOU,13,5.0,1.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,1.0,0.0,29.0,2.230769230769231,41.0,50.0
Tyler Kroft,NYJ,9,5.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,20.0,2.2222222222222223,56.0,51.0
Nick Vannett,NO,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,0.0,1.0,15.0,2.142857142857143,64.0,52.0
Brock Wright,DET,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,1.0,3.0,0.0,2.0,17.0,2.125,59.5,53.0
Marcedes Lewis,GB,13,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,4.0,3.0,3.0,0.0,1.0,27.0,2.076923076923077,44.5,54.0
Ethan Wolf,NO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,107.0,57.0
Jacob Hollister,JAC,7,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,14.0,2.0,67.0,57.0
Ian Thomas,CAR,14,2.0,2.0,0.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,28.0,2.0,42.5,57.0
Jesse James,CHI,4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,75.5,57.0
Richard Rodgers,PHI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,107.0,57.0
John Bates,WAS,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,25.0,1.9230769230769231,49.5,60.0
Jimmy Graham,CHI,11,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,21.0,1.9090909090909092,54.5,61.5
O.J. Howard,TB,11,0.0,1.0,1.0,1.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.9090909090909092,54.5,61.5
Donald Parham Jr.,LAC,14,1.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,5.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,26.0,1.8571428571428572,47.0,63.0
Adam Shaheen,MIA,9,0.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.7777777777777777,61.5,64.0
Will Dissly,SEA,13,3.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,23.0,1.7692307692307692,52.0,65.0
Blake Jarwin,DAL,8,3.0,4.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.75,67.0,66.5
Kendall Blanton,LAR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,1.75,79.0,66.5
Harrison Bryant,CLE,15,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,26.0,1.7333333333333334,47.0,68.0
Tommy Sweeney,BUF,7,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.7142857142857142,69.5,69.0
Mitchell Wilcox,CIN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666666666667,89.0,70.0
Kenny Yeboah,NYJ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.5,99.0,73.5
Parker Hesse,ATL,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.5,83.0,73.5
Drew Sample,CIN,10,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,15.0,1.5,64.0,73.5
Tommy Hudson,TEN,4,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,83.0,73.5
Chris Myarick,NYG,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.5,83.0,73.5
Kylen Granson,IND,10,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0,1.5,64.0,73.5
MyCole Pruitt,TEN,13,0.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,1.4615384615384615,57.5,77.5
Juwan Johnson,NO,13,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,19.0,1.4615384615384615,57.5,77.5
Noah Gray,KC,7,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,1.4285714285714286,72.5,79.0
Colby Parkinson,SEA,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,1.3333333333333333,75.5,80.5
Tre' McKitty,LAC,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,8.0,1.3333333333333333,75.5,80.5
