player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Cooper Kupp,LAR,17,10.0,11.0,12.0,13.0,10.0,12.0,13.0,9.0,13.0,13.0,0.0,10.0,10.0,15.0,13.0,13.0,7.0,7.0,181.0,10.647058823529411,1.0,1.0
Davante Adams,GB,16,7.0,9.0,18.0,11.0,16.0,5.0,7.0,0.0,14.0,11.0,8.0,9.0,0.0,13.0,7.0,13.0,14.0,7.0,162.0,10.125,2.0,2.0
Diontae Johnson,PIT,16,10.0,12.0,0.0,13.0,2.0,13.0,0.0,13.0,6.0,13.0,13.0,14.0,11.0,10.0,5.0,9.0,15.0,10.0,159.0,9.9375,3.0,3.0
Justin Jefferson,MIN,17,9.0,10.0,11.0,7.0,8.0,14.0,0.0,4.0,5.0,11.0,10.0,9.0,14.0,15.0,10.0,12.0,11.0,7.0,158.0,9.294117647058824,4.0,4.0
DJ Moore,CAR,17,8.0,11.0,12.0,12.0,7.0,13.0,10.0,8.0,7.0,7.0,7.0,10.0,0.0,10.0,11.0,12.0,8.0,10.0,155.0,9.117647058823529,5.0,5.0
Keenan Allen,LAC,16,13.0,8.0,12.0,11.0,9.0,5.0,0.0,11.0,13.0,11.0,13.0,10.0,8.0,0.0,10.0,6.0,9.0,8.0,144.0,9.0,7.5,6.0
Stefon Diggs,BUF,17,13.0,8.0,10.0,11.0,5.0,11.0,0.0,7.0,8.0,13.0,6.0,9.0,7.0,13.0,7.0,13.0,9.0,14.0,151.0,8.882352941176471,6.0,7.0
Calvin Ridley,ATL,5,8.0,10.0,11.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.8,93.0,8.0
Marquise Brown,BAL,16,6.0,10.0,7.0,5.0,10.0,5.0,14.0,0.0,12.0,13.0,0.0,10.0,7.0,8.0,14.0,9.0,8.0,8.0,140.0,8.75,9.0,9.0
Tyreek Hill,KC,17,15.0,4.0,7.0,12.0,13.0,12.0,9.0,18.0,11.0,10.0,11.0,0.0,5.0,4.0,13.0,2.0,10.0,3.0,144.0,8.470588235294118,7.5,10.0
