index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
16,D.Carr,LV,23,31.48070184802296,7.0,11.0,8.48070184802296,4.0,True
52,M.Ryan,ATL,20,28.20181149614693,12.0,15.0,8.20181149614693,3.0,True
76,Z.Wilson,NYJ,9,17.02295518772309,27.0,27.5,8.022955187723088,0.5,True
63,S.Darnold,CAR,9,17.003444142861138,28.0,27.5,8.003444142861138,-0.5,True
61,R.Tannehill,TEN,21,28.53533304622381,11.0,13.0,7.535333046223808,2.0,True
58,P.Mahomes,KC,37,44.45200941691,1.0,3.0,7.452009416910002,2.0,True
70,T.Huntley,BAL,3,9.994876505023896,35.0,42.5,6.994876505023896,7.5,True
35,J.Hurts,PHI,16,22.94870010839083,17.0,21.5,6.948700108390831,4.5,True
49,M.Jones,NE,22,27.788325278968944,13.0,12.0,5.788325278968944,-1.0,True
17,D.Jones,NYG,10,15.487253085902593,30.0,26.0,5.4872530859025925,-4.0,True
27,J.Brissett,MIA,5,9.777848965631973,36.0,33.0,4.777848965631973,-3.0,True
29,J.Fields,CHI,7,10.391916971443397,34.0,30.0,3.391916971443397,-4.0,True
67,T.Bridgewater,DEN,18,21.05815130016108,21.0,18.0,3.0581513001610787,-3.0,True
32,J.Garoppolo,SF,20,22.81778939652653,18.0,15.0,2.8177893965265284,-3.0,True
5,B.Mayfield,CLE,17,19.781341464290836,22.0,19.0,2.7813414642908363,-3.0,True
74,T.Tagovailoa,MIA,16,18.75466285416317,24.0,21.5,2.7546628541631684,-2.5,True
0,A.Dalton,CHI,8,10.686575178152733,33.0,29.0,2.686575178152733,-4.0,True
59,P.Walker,CAR,1,3.4502659199202017,49.0,53.5,2.4502659199202017,4.5,True
48,M.Glennon,NYG,4,6.356066624323453,38.0,37.5,2.3560666243234527,-0.5,True
33,J.Goff,DET,19,21.291806763946962,19.0,17.0,2.291806763946962,-2.0,True
46,L.Jackson,BAL,16,18.238856714074508,25.0,21.5,2.238856714074508,-3.5,True
45,K.Murray,ARI,24,26.178349178322513,14.0,10.0,2.178349178322513,-4.0,True
34,J.Herbert,LAC,38,40.07121950959932,4.0,1.0,2.0712195095993167,-3.0,True
26,J.Allen,BUF,36,38.04448474673181,5.0,5.0,2.0444847467318112,0.0,True
56,N.Foles,CHI,1,2.958687269795706,53.0,53.5,1.958687269795706,0.5,True
14,C.Wentz,IND,27,28.928571812173296,10.0,8.0,1.9285718121732955,-2.0,True
51,M.Rudolph,PIT,1,2.9174207183829384,54.0,53.5,1.9174207183829384,-0.5,True
18,D.Lock,DEN,2,3.7685795352438434,45.0,47.5,1.7685795352438434,2.5,True
73,T.Siemian,NO,11,12.466094469473136,32.0,25.0,1.466094469473136,-7.0,True
66,T.Boyle,DET,3,4.217397871620326,42.0,42.5,1.2173978716203262,0.5,True
22,G.Gilbert,WAS,0,1.1344977568840424,63.0,63.5,1.1344977568840424,0.5,True
68,T.Heinicke,WAS,20,21.086777568364926,20.0,15.0,1.0867775683649263,-5.0,True
10,C.Keenum,CLE,3,4.074047934238147,44.0,42.5,1.0740479342381466,-1.5,True
37,J.Love,GB,2,3.013225442669077,51.0,47.5,1.0132254426690772,-3.5,True
11,C.McCoy,ARI,3,3.7505022762966482,46.0,42.5,0.7505022762966482,-3.5,True
31,J.Fromm,NYG,1,1.6915672306664506,60.0,53.5,0.6915672306664506,-6.5,True
2,B.Allen,CIN,2,2.596746442474681,57.0,47.5,0.5967464424746809,-9.5,True
69,T.Hill,NO,4,4.440292618809945,40.0,37.5,0.44029261880994497,-2.5,True
9,C.Henne,KC,0,0.40108645164763357,72.0,63.5,0.40108645164763357,-8.5,True
3,B.Gabbert,TB,0,0.3750782293290079,74.0,63.5,0.3750782293290079,-10.5,True
57,N.Mullens,CLE,1,1.2999046647409735,62.0,53.5,0.29990466474097355,-8.5,True
60,R.Fitzpatrick,WAS,0,0.23627732653684258,80.0,63.5,0.23627732653684258,-16.5,True
25,I.Book,NO,0,0.21890318054829672,83.0,63.5,0.21890318054829672,-19.5,True
38,J.Rosen,ATL,0,0.15406244049960557,88.0,63.5,0.15406244049960557,-24.5,True
50,M.Mariota,LV,0,0.12235700880355693,92.0,63.5,0.12235700880355693,-28.5,True
54,M.Trubisky,BUF,0,0.09554524495529079,94.0,63.5,0.09554524495529079,-30.5,True
41,K.Allen,WAS,1,1.0369066193803407,64.0,53.5,0.03690661938034068,-10.5,True
44,K.Mond,MIN,0,0.014524485590584613,113.0,63.5,0.014524485590584613,-49.5,True
6,B.Rypien,DEN,0,0.006458557588805167,121.0,63.5,0.006458557588805167,-57.5,True
15,D.Blough,DET,0,0.004756060141147591,125.0,63.5,0.004756060141147591,-61.5,True
21,F.Franks,ATL,0,0.004294358774155768,128.0,63.5,0.004294358774155768,-64.5,True
30,J.Flacco,NYJ,3,2.7446564910454865,55.0,42.5,-0.2553435089545135,-12.5,False
12,C.Newton,CAR,4,3.635181472989594,48.0,37.5,-0.36481852701040607,-10.5,False
65,S.Mannion,MIN,1,0.5426611571681709,67.0,53.5,-0.45733884283182913,-13.5,False
36,J.Johnson,BAL,2,1.5224627587174824,61.0,47.5,-0.4775372412825176,-13.5,False
55,M.White,NYJ,5,4.512213225804357,39.0,33.0,-0.4877867741956434,-6.0,False
4,B.Hoyer,NE,1,0.3987180111819677,73.0,53.5,-0.6012819888180323,-19.5,False
75,T.Taylor,HOU,5,4.3896530198181285,41.0,33.0,-0.6103469801818715,-8.0,False
23,G.Minshew,PHI,4,3.3453123880342126,50.0,37.5,-0.6546876119657874,-12.5,False
24,G.Smith,SEA,5,4.211854952360096,43.0,33.0,-0.7881450476399037,-10.0,False
13,C.Rush,DAL,3,1.853559022505132,59.0,42.5,-1.146440977494868,-16.5,False
71,T.Lance,SF,5,3.7041257571733164,47.0,33.0,-1.2958742428266836,-14.0,False
19,D.Mills,HOU,16,12.895809674656064,31.0,21.5,-3.104190325343936,-9.5,False
28,J.Burrow,CIN,34,30.54042173377978,9.0,6.0,-3.4595782662202197,-3.0,False
20,D.Prescott,DAL,37,33.4635150053649,6.0,3.0,-3.536484994635103,-3.0,False
43,K.Cousins,MIN,33,26.055641155009088,15.0,7.0,-6.944358844990912,-8.0,False
39,J.Winston,NO,14,6.972297246244783,37.0,24.0,-7.027702753755217,-13.0,False
62,R.Wilson,SEA,25,15.700027573566517,29.0,9.0,-9.299972426433483,-20.0,False
1,A.Rodgers,GB,37,19.429624930950784,23.0,3.0,-17.570375069049216,-20.0,False
