index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
133,K.Pitts,ATL,1.0,4.998292854807691,36.0,56.5,3.9982928548076906,20.5,True
27,C.Kmet,CHI,0.0,3.326130237450055,87.0,90.5,3.326130237450055,3.5,True
153,M.Lewis,GB,0.0,2.7411451951586985,110.0,90.5,2.7411451951586985,-19.5,True
151,M.Gesicki,MIA,2.0,4.54997762000197,43.0,39.0,2.54997762000197,-4.0,True
62,D.Waller,LV,2.0,4.495324728640607,49.0,39.0,2.4953247286406066,-10.0,True
135,K.Rudolph,NYG,1.0,3.284444097540686,89.0,56.5,2.284444097540686,-32.5,True
60,D.Smythe,MIA,0.0,2.2611457259734182,136.0,90.5,2.2611457259734182,-45.5,True
189,R.Seals-Jones,WAS,2.0,4.060418157129925,62.0,39.0,2.0604181571299254,-23.0,True
122,J.Smith,NE,1.0,2.767370060103311,109.0,56.5,1.7673700601033109,-52.5,True
90,J.Akins,HOU,0.0,1.6891216985669728,181.0,90.5,1.6891216985669728,-90.5,True
222,Z.Gentry,PIT,0.0,1.5492188723628393,197.0,90.5,1.5492188723628393,-106.5,True
9,A.Shaheen,MIA,0.0,1.4481244273088307,207.0,90.5,1.4481244273088307,-116.5,True
23,C.Brate,TB,4.0,5.275719404026644,29.0,15.0,1.2757194040266437,-14.0,True
93,J.Cook,LAC,4.0,5.268827666416918,30.0,15.0,1.268827666416918,-15.0,True
200,T.Conklin,MIN,3.0,4.194812468568913,59.0,26.0,1.1948124685689132,-33.0,True
130,K.Granson,IND,0.0,1.1659407483713105,232.0,90.5,1.1659407483713105,-141.5,True
216,T.Tremble,CAR,1.0,2.135986186376926,149.0,56.5,1.1359861863769258,-92.5,True
6,A.Hooper,CLE,3.0,4.0203044534442824,65.0,26.0,1.0203044534442824,-39.0,True
89,I.Thomas,CAR,0.0,0.9293704402153449,254.0,90.5,0.9293704402153449,-163.5,True
97,J.Doyle,IND,3.0,3.704768459830103,74.0,26.0,0.704768459830103,-48.0,True
10,A.Trautman,NO,2.0,2.635905257921312,118.0,39.0,0.635905257921312,-79.0,True
164,N.Gray,KC,1.0,1.566269107438837,191.0,56.5,0.5662691074388371,-134.5,True
199,S.Zylstra,DET,0.0,0.5346558581920616,318.0,90.5,0.5346558581920616,-227.5,True
11,B.Bell,KC,0.0,0.5233976554919327,321.0,90.5,0.5233976554919327,-230.5,True
118,J.Oliver,BAL,0.0,0.5044860657578789,339.0,90.5,0.5044860657578789,-248.5,True
50,D.Harris,ARI,0.0,0.41215598346007504,362.0,90.5,0.41215598346007504,-271.5,True
173,P.Brown,HOU,0.0,0.38752750113367473,367.0,90.5,0.38752750113367473,-276.5,True
126,J.Stoll,PHI,0.0,0.381025481627536,368.0,90.5,0.381025481627536,-277.5,True
188,R.Rodgers,PHI,0.0,0.3719680672034021,370.0,90.5,0.3719680672034021,-279.5,True
58,D.Sample,CIN,0.0,0.3708494192415406,371.0,90.5,0.3708494192415406,-280.5,True
32,C.Parkinson,SEA,0.0,0.368040651981428,372.0,90.5,0.368040651981428,-281.5,True
76,G.Ricci,CAR,0.0,0.35528241147205153,376.0,90.5,0.35528241147205153,-285.5,True
124,J.Sprinkle,DAL,0.0,0.2985252100029199,393.0,90.5,0.2985252100029199,-302.5,True
162,N.Boyle,BAL,0.0,0.2749591268630705,397.0,90.5,0.2749591268630705,-306.5,True
201,T.Davis,GB,0.0,0.26202708667093405,405.0,90.5,0.26202708667093405,-314.5,True
183,R.Gilliam,BUF,0.0,0.2498825793382648,406.0,90.5,0.2498825793382648,-315.5,True
163,N.Fant,DEN,4.0,4.201407142163768,58.0,15.0,0.20140714216376843,-43.0,True
211,T.McKitty,LAC,0.0,0.20061567821760354,424.0,90.5,0.20061567821760354,-333.5,True
206,T.Hudson,TEN,0.0,0.19225656856712017,428.0,90.5,0.19225656856712017,-337.5,True
172,O.Howard,TB,1.0,1.1907695194800763,228.0,56.5,0.19076951948007626,-171.5,True
29,C.McElroy,TB,0.0,0.17302798982188294,434.0,90.5,0.17302798982188294,-343.5,True
55,D.Parham,LAC,3.0,3.167892746559784,93.0,26.0,0.16789274655978392,-67.0,True
141,L.Smith,ATL,1.0,1.1522388841619833,234.0,56.5,0.15223888416198328,-177.5,True
44,D.Daniels,ARI,0.0,0.13470276033870174,443.0,90.5,0.13470276033870174,-352.5,True
65,E.Ebron,PIT,1.0,1.121768167497689,235.0,56.5,0.12176816749768893,-178.5,True
197,S.Sullivan,CAR,0.0,0.1143543956043956,449.0,90.5,0.1143543956043956,-358.5,True
217,T.Wesco,NYJ,0.0,0.10754091353270974,452.0,90.5,0.10754091353270974,-361.5,True
36,C.Woerner,SF,0.0,0.0935984690697414,459.0,90.5,0.0935984690697414,-368.5,True
218,W.Dissly,SEA,1.0,1.0884295823095853,237.0,56.5,0.08842958230958531,-180.5,True
159,M.Wilcox,CIN,0.0,0.0838668620417294,464.0,90.5,0.0838668620417294,-373.5,True
175,P.Hesse,ATL,0.0,0.06664913295368563,474.0,90.5,0.06664913295368563,-383.5,True
138,K.Yeboah,NYJ,0.0,0.058139596719060396,487.0,90.5,0.058139596719060396,-396.5,True
43,D.Dafney,GB,0.0,0.0566136973810243,488.0,90.5,0.0566136973810243,-397.5,True
74,G.Griffin,NO,0.0,0.04427582430279458,498.0,90.5,0.04427582430279458,-407.5,True
15,B.Ellefson,MIN,0.0,0.03533816990404868,504.0,90.5,0.03533816990404868,-413.5,True
47,D.Fells,DET,0.0,0.03040768195874461,509.0,90.5,0.03040768195874461,-418.5,True
39,D.Brown,NYJ,0.0,0.026397512288888217,510.0,90.5,0.026397512288888217,-419.5,True
24,C.Carter,MIA,0.0,0.026286529089138276,511.0,90.5,0.026286529089138276,-420.5,True
134,K.Rader,PIT,0.0,0.023782233414904975,513.0,90.5,0.023782233414904975,-422.5,True
84,H.Long,MIA,0.0,0.022936177088729793,515.0,90.5,0.022936177088729793,-424.5,True
184,R.Griffin,NYJ,2.0,2.0193482293170715,156.0,39.0,0.019348229317071475,-117.0,True
136,K.Smith,NYG,0.0,0.018413358601025366,521.0,90.5,0.018413358601025366,-430.5,True
142,L.Stocker,MIN,0.0,0.009865182573320178,545.0,90.5,0.009865182573320178,-454.5,True
70,E.Wolf,NO,0.0,0.009112875226530825,547.0,90.5,0.009112875226530825,-456.5,True
34,C.Thompson,CAR,0.0,0.008918617614269788,548.0,90.5,0.008918617614269788,-457.5,True
41,D.Carrier,LV,0.0,0.00867393762598535,549.0,90.5,0.00867393762598535,-458.5,True
68,E.Tomlinson,BAL,0.0,0.005649717514124294,553.0,90.5,0.005649717514124294,-462.5,True
8,A.Okwuegbunam,DEN,2.0,1.9900623996792375,158.0,39.0,-0.009937600320762519,-119.0,False
191,S.Anderson,LAC,1.0,0.8817768150844126,263.0,56.5,-0.11822318491558736,-206.5,False
96,J.Deguara,GB,2.0,1.8811954128137816,163.0,39.0,-0.11880458718621845,-124.0,False
221,Z.Ertz,ARI,5.0,4.796494331998004,40.0,9.5,-0.20350566800199577,-30.5,False
4,A.Firkser,TEN,2.0,1.7772660185625266,173.0,39.0,-0.22273398143747336,-134.0,False
92,J.Bates,WAS,1.0,0.7445973790557286,279.0,56.5,-0.25540262094427135,-222.5,False
209,T.Kroft,NYJ,1.0,0.7269451427240389,284.0,56.5,-0.2730548572759611,-227.5,False
146,M.Andrews,BAL,9.0,8.682095487248377,6.0,2.5,-0.3179045127516229,-3.5,False
215,T.Sweeney,BUF,1.0,0.6691335534154095,292.0,56.5,-0.3308664465845905,-235.5,False
67,E.Saubert,DEN,1.0,0.6561274344837904,297.0,56.5,-0.3438725655162096,-240.5,False
77,G.Swaim,TEN,3.0,2.6374748431968196,117.0,26.0,-0.3625251568031804,-91.0,False
26,C.Herndon,MIN,1.0,0.5807172408252321,309.0,56.5,-0.41928275917476787,-252.5,False
190,R.Tonyan,GB,2.0,1.5526220993142614,195.0,39.0,-0.44737790068573857,-156.0,False
17,B.Jarwin,DAL,2.0,1.5484947523922001,199.0,39.0,-0.45150524760779986,-160.0,False
