index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
189,J.Meyers,NE,2.0,6.572595365204538,13.0,84.5,4.572595365204538,71.5,True
48,C.Beasley,BUF,1.0,4.316066558491109,55.0,116.0,3.3160665584911087,61.0,True
353,T.Johnson,TB,0.0,3.2000187203271073,91.0,174.5,3.2000187203271073,83.5,True
221,K.Golladay,NYG,0.0,3.032618307743308,98.0,174.5,3.032618307743308,76.5,True
316,R.McCloud,PIT,0.0,2.735182440908263,111.0,174.5,2.735182440908263,63.5,True
258,M.Hardman,KC,2.0,4.719190424592461,41.0,84.5,2.719190424592461,43.5,True
11,A.Green,ARI,3.0,5.609249825327793,28.0,61.5,2.609249825327793,33.5,True
77,C.Sutton,DEN,2.0,4.501232207018154,48.0,84.5,2.5012322070181536,36.5,True
52,C.Claypool,PIT,2.0,4.430069633991701,51.0,84.5,2.4300696339917014,33.5,True
165,J.Crowder,NYJ,2.0,4.02213506041799,64.0,84.5,2.02213506041799,20.5,True
301,Q.Watkins,PHI,1.0,3.0169106618192187,99.0,116.0,2.0169106618192187,17.0,True
13,A.Humphries,WAS,0.0,1.9926097728526002,157.0,174.5,1.9926097728526002,17.5,True
215,K.Allen,LAC,6.0,7.846874166162043,9.0,22.0,1.846874166162043,13.0,True
226,K.Hodge,DET,0.0,1.8183241304272855,168.0,174.5,1.8183241304272855,6.5,True
235,K.Toney,NYG,0.0,1.7584416923089505,174.0,174.5,1.7584416923089505,0.5,True
359,T.Marshall,CAR,0.0,1.706112753676499,179.0,174.5,1.706112753676499,-4.5,True
364,T.Sharpe,ATL,0.0,1.6722640423792157,183.0,174.5,1.6722640423792157,-8.5,True
282,N.Collins,HOU,1.0,2.566007741117765,120.0,116.0,1.5660077411177649,-4.0,True
382,Z.Jones,LV,1.0,2.5550712261634265,121.0,116.0,1.5550712261634265,-5.0,True
328,S.Shepard,NYG,1.0,2.5161324061242287,123.0,116.0,1.5161324061242287,-7.0,True
179,J.Jeudy,DEN,0.0,1.4692114606423128,204.0,174.5,1.4692114606423128,-29.5,True
181,J.Jones,TEN,1.0,2.442330647539034,128.0,116.0,1.442330647539034,-12.0,True
318,R.Moore,ARI,1.0,2.3559083502161635,132.0,116.0,1.3559083502161635,-16.0,True
23,A.Robinson,CHI,1.0,2.3211819099991775,133.0,116.0,1.3211819099991775,-17.0,True
297,P.Williams,MIA,0.0,1.2085756023961085,223.0,174.5,1.2085756023961085,-48.5,True
57,C.Godwin,TB,5.0,6.103632004396416,18.0,35.0,1.1036320043964158,17.0,True
369,T.Taylor,CIN,0.0,1.0789779807360176,238.0,174.5,1.0789779807360176,-63.5,True
383,Z.Pascal,IND,3.0,4.072298921377649,61.0,61.5,1.0722989213776488,0.5,True
218,K.Cole,NYJ,1.0,2.0345213435967677,155.0,116.0,1.0345213435967677,-39.0,True
71,C.Ridley,ATL,2.0,3.00075210371128,101.0,84.5,1.0007521037112799,-16.5,True
361,T.Montgomery,NO,0.0,0.9585107673188512,247.0,174.5,0.9585107673188512,-72.5,True
304,R.Bateman,BAL,1.0,1.9252923184443285,161.0,116.0,0.9252923184443285,-45.0,True
185,J.Landry,CLE,2.0,2.9221062945165537,105.0,84.5,0.9221062945165537,-20.5,True
111,D.Mims,NYJ,0.0,0.903808933584213,258.0,174.5,0.903808933584213,-83.5,True
32,A.Wilson,MIA,0.0,0.9000850279169187,259.0,174.5,0.9000850279169187,-84.5,True
214,J.Winfree,GB,0.0,0.8860998270236645,262.0,174.5,0.8860998270236645,-87.5,True
183,J.Kumerow,BUF,0.0,0.8725397939506067,267.0,174.5,0.8725397939506067,-92.5,True
269,M.Sanu,SF,0.0,0.8517663732088037,270.0,174.5,0.8517663732088037,-95.5,True
86,D.Byrd,CHI,1.0,1.8303405117053528,165.0,116.0,0.8303405117053528,-49.0,True
85,D.Brown,WAS,0.0,0.80406171323034,273.0,174.5,0.80406171323034,-98.5,True
72,C.Rogers,TEN,1.0,1.7930077017991886,172.0,116.0,0.7930077017991886,-56.0,True
108,D.Johnson,PIT,8.0,8.77916776052002,5.0,13.0,0.7791677605200196,8.0,True
63,C.Johnson,NYG,0.0,0.7097306651607248,286.0,174.5,0.7097306651607248,-111.5,True
34,B.Berrios,NYJ,2.0,2.6856538022214314,114.0,84.5,0.6856538022214314,-29.5,True
50,C.Blake,ATL,0.0,0.6853281748090246,289.0,174.5,0.6853281748090246,-114.5,True
62,C.Hollister,TEN,0.0,0.6783879026062003,290.0,174.5,0.6783879026062003,-115.5,True
292,P.Cooper,NYG,0.0,0.6723579302519295,291.0,174.5,0.6723579302519295,-116.5,True
381,W.Snead,LV,0.0,0.6584971462458779,295.0,174.5,0.6584971462458779,-120.5,True
228,K.Kirkwood,CAR,0.0,0.6213160631631705,302.0,174.5,0.6213160631631705,-127.5,True
378,W.Fuller,MIA,0.0,0.607831579897068,305.0,174.5,0.607831579897068,-130.5,True
283,N.Harry,NE,0.0,0.5975498454689298,308.0,174.5,0.5975498454689298,-133.5,True
312,R.Higgins,CLE,1.0,1.5632397780741143,192.0,116.0,0.5632397780741143,-76.0,True
128,D.Spencer,DEN,0.0,0.5091224464911605,328.0,174.5,0.5091224464911605,-153.5,True
261,M.Johnson,TEN,0.0,0.5089652051152899,329.0,174.5,0.5089652051152899,-154.5,True
255,M.Gallup,DAL,2.0,2.504210432231102,125.0,84.5,0.5042104322311021,-40.5,True
365,T.Sherfield,SF,1.0,1.472880178094367,203.0,116.0,0.472880178094367,-87.0,True
368,T.Smith,NO,3.0,3.4703993950970666,79.0,61.5,0.47039939509706663,-17.5,True
113,D.Mooney,CHI,4.0,4.468443263555788,50.0,48.0,0.4684432635557876,-2.0,True
281,N.Brown,DAL,0.0,0.46358950558773243,345.0,174.5,0.46358950558773243,-170.5,True
203,J.Smith-Schuster,PIT,0.0,0.41016585768925307,363.0,174.5,0.41016585768925307,-188.5,True
153,I.McKenzie,BUF,1.0,1.3832929928301478,209.0,116.0,0.38329299283014784,-93.0,True
117,D.Parker,MIA,2.0,2.37715841864608,130.0,84.5,0.37715841864608013,-45.5,True
338,T.Benson,DET,0.0,0.36393453414665405,374.0,174.5,0.36393453414665405,-199.5,True
346,T.Higgins,CIN,6.0,6.353772320525176,15.0,22.0,0.3537723205251764,7.0,True
110,D.Milne,WAS,0.0,0.3505238583062849,377.0,174.5,0.3505238583062849,-202.5,True
133,D.Westbrook,MIN,0.0,0.3427845679694534,380.0,174.5,0.3427845679694534,-205.5,True
356,T.Kennedy,DET,0.0,0.33002720777078626,383.0,174.5,0.33002720777078626,-208.5,True
