index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
173,M.Sanders,PHI,0.0,4.378457768233165,35.0,121.0,4.378457768233165,86.0,True
52,D.Cook,MIN,6.0,9.312862570851467,6.0,18.5,3.3128625708514665,12.5,True
12,A.Kamara,NO,4.0,7.213213789231671,19.0,32.0,3.213213789231671,13.0,True
135,J.Williams,DEN,4.0,6.76008898783451,20.0,32.0,2.76008898783451,12.0,True
221,T.Coleman,NYJ,0.0,2.617008841703274,68.0,121.0,2.617008841703274,53.0,True
165,M.Gaskin,MIA,3.0,5.55358775387403,27.0,40.5,2.55358775387403,13.5,True
44,C.McCaffrey,CAR,1.0,3.104583328149567,58.0,81.5,2.104583328149567,23.5,True
50,D.Booker,NYG,2.0,3.9686598750551427,38.0,57.5,1.9686598750551427,19.5,True
8,A.Gibson,WAS,7.0,8.843650693559852,8.0,14.0,1.8436506935598516,6.0,True
6,A.Dillon,GB,5.0,6.659520914387433,22.0,24.5,1.659520914387433,2.5,True
11,A.Jones,GB,4.0,5.635438721355226,25.0,32.0,1.635438721355226,7.0,True
35,C.Edmonds,ARI,2.0,3.5632173540435232,50.0,57.5,1.5632173540435232,7.5,True
136,J.Williams,DET,3.0,4.556335450828673,33.0,40.5,1.5563354508286729,7.5,True
161,M.Brown,MIA,1.0,2.286431356504659,77.0,81.5,1.286431356504659,4.5,True
116,J.Kelley,LAC,0.0,1.2728001408462515,106.0,121.0,1.2728001408462515,15.0,True
46,C.Reynolds,DET,0.0,1.1997682349982095,111.0,121.0,1.1997682349982095,10.0,True
228,T.Johnson,NYJ,2.0,3.1890619550957697,54.0,57.5,1.1890619550957697,3.5,True
119,J.McKinnon,KC,0.0,1.111250757141979,113.0,121.0,1.111250757141979,8.0,True
243,Z.Moss,BUF,4.0,4.951996243343,31.0,32.0,0.9519962433430003,1.0,True
14,A.Mattison,MIN,3.0,3.9348005093178666,39.0,40.5,0.9348005093178666,1.5,True
0,A.Abdullah,CAR,0.0,0.9176576170617371,122.0,121.0,0.9176576170617371,-1.0,True
149,K.Nwangwu,MIN,0.0,0.9099473599065293,123.0,121.0,0.9099473599065293,-2.0,True
121,J.McNichols,TEN,0.0,0.8270040766396833,128.0,121.0,0.8270040766396833,-7.0,True
196,R.Burkhead,HOU,3.0,3.8253045900821703,40.0,40.5,0.8253045900821703,0.5,True
153,L.Bell,TB,0.0,0.7744701940991371,131.0,121.0,0.7744701940991371,-10.0,True
230,T.Jones,NO,0.0,0.7622185723835564,132.0,121.0,0.7622185723835564,-11.0,True
5,A.Collins,SEA,2.0,2.7467651285601353,63.0,57.5,0.7467651285601353,-5.5,True
154,L.Fournette,TB,8.0,8.67499242095138,9.0,10.0,0.67499242095138,1.0,True
67,D.Johnson,HOU,0.0,0.6726578345582834,139.0,121.0,0.6726578345582834,-18.0,True
69,D.Montgomery,CHI,7.0,7.656496892151773,14.0,14.0,0.6564968921517726,0.0,True
86,G.Bernard,TB,0.0,0.6419384232437176,143.0,121.0,0.6419384232437176,-22.0,True
109,J.Howard,PHI,3.0,3.6181653917488332,46.0,40.5,0.6181653917488332,-5.5,True
157,L.Rountree,LAC,1.0,1.6121841250810818,93.0,81.5,0.6121841250810818,-11.5,True
182,N.Harris,PIT,7.0,7.600019383742268,16.0,14.0,0.6000193837422678,-2.0,True
9,A.Ingold,LV,0.0,0.5551622689577796,158.0,121.0,0.5551622689577796,-37.0,True
24,B.Bolden,NE,1.0,1.4935480759016868,98.0,81.5,0.4935480759016868,-16.5,True
111,J.Jackson,LAC,2.0,2.439184613100597,71.0,57.5,0.439184613100597,-13.5,True
73,D.Singletary,BUF,7.0,7.428037227662325,17.0,14.0,0.4280372276623252,-3.0,True
130,J.Stanton,CLE,0.0,0.4153366611574374,173.0,121.0,0.4153366611574374,-52.0,True
39,C.Ham,MIN,0.0,0.4127956280059275,175.0,121.0,0.4127956280059275,-54.0,True
207,S.Ahmed,MIA,0.0,0.3986576186576164,177.0,121.0,0.3986576186576164,-56.0,True
37,C.Evans,CIN,0.0,0.38759895477599954,179.0,121.0,0.38759895477599954,-58.0,True
209,S.Barkley,NYG,2.0,2.363910517296217,74.0,57.5,0.36391051729621715,-16.5,True
191,P.Taylor,GB,1.0,1.3599045906421112,103.0,81.5,0.3599045906421112,-21.5,True
31,B.Snell,PIT,0.0,0.33248268982317364,188.0,121.0,0.33248268982317364,-67.0,True
34,C.Clement,DAL,0.0,0.31542294166915064,190.0,121.0,0.31542294166915064,-69.0,True
199,R.Freeman,HOU,0.0,0.3105767901056316,191.0,121.0,0.3105767901056316,-70.0,True
151,K.Vaughn,TB,2.0,2.299409427701196,76.0,57.5,0.29940942770119605,-18.5,True
164,M.Davis,ATL,3.0,3.2649514204619776,52.0,40.5,0.2649514204619776,-11.5,True
138,J.Wilson,SF,2.0,2.2536335302171997,78.0,57.5,0.2536335302171997,-20.5,True
126,J.Richard,LV,0.0,0.24040222790985633,196.0,121.0,0.24040222790985633,-75.0,True
170,M.Mack,IND,0.0,0.23796959225115266,198.0,121.0,0.23796959225115266,-77.0,True
238,T.Williams,CIN,0.0,0.2005634746238388,203.0,121.0,0.2005634746238388,-82.0,True
58,D.Foreman,TEN,3.0,3.1813521610944973,56.0,40.5,0.18135216109449726,-15.5,True
